Strain,Media,Time,mean_pct,sem_pct
DGY1,NA,NA,76.04060048662129,3.0345813460950697
WT,C,6,47.899455175903874,2.9162512132531506
WT,C,16,77.43238168462554,1.444703400181707
WT,C,30,72.72922780188247,1.6907091343817733
WT,C,46,76.86397474987929,1.0786388781198875
WT,Control,0,44.098365093490116,1.4019727393047263
WT,N,6,47.061546807433054,0.815000035659092
WT,N,16,96.86861927010781,0.08419179562433386
WT,N,30,99.04060177129266,0.31305253654908316
WT,N,46,99.57384156552132,0.06842139405980675
WT,P,6,77.50043355908662,0.36930967540645
WT,P,16,97.21325629220175,0.29246143213517234
WT,P,30,97.87299455437925,0.16913491100332145
WT,P,46,98.05092162794404,0.32574822149128896
rim15Δ,C,6,52.09676009364595,2.056941192343941
rim15Δ,C,16,56.26351335360849,1.6508527709934078
rim15Δ,C,30,57.9664398641367,0.8868195283411623
rim15Δ,C,46,65.9936635564659,1.7814182177258684
rim15Δ,Control,0,43.691713775015614,0.17574288703523142
rim15Δ,N,6,43.89280257093719,0.2999664791915939
rim15Δ,N,16,80.91392614448402,0.7819497386715218
rim15Δ,N,30,90.76959184057263,2.2918940702216988
rim15Δ,N,46,93.11807372818217,0.4344275642101698
rim15Δ,P,6,71.76726208511995,2.3390684711989183
rim15Δ,P,16,91.01333550623848,0.5926668342946881
rim15Δ,P,30,92.91003063152635,0.5077311160473742
rim15Δ,P,46,94.30322850824354,0.3697980088767905
