orf,gene,ThisStudy,Li2019,Dokladal2021,Baro2018,Plank_Cdc55AID,n_published
YLR206W,NA,0,0,0,1,1,2
YLR371W,ROM2,0,0,0,1,1,2
YLR407W,NA,0,0,0,1,1,2
YLR410W,VIP1,0,0,0,1,1,2
YLR413W,YLR413W,0,0,0,1,1,2
YML007W,YAP1,0,0,0,1,1,2
YML059C,NTE1,0,0,1,1,0,2
YML072C,NA,0,0,0,1,1,2
YML100W,TSL1,0,0,1,1,0,2
YMR068W,AVO2,0,0,0,1,1,2
YMR086W,SEG1,0,0,1,1,0,2
YMR165C,PAH1,0,0,0,1,1,2
YMR219W,ESC1,0,1,0,1,0,2
YMR255W,GFD1,0,0,0,1,1,2
YMR295C,YMR295C,0,0,0,1,1,2
YNL053W,MSG5,0,0,0,1,1,2
YNL088W,TOP2,0,1,0,1,0,2
YNL102W,POL1,0,0,0,1,1,2
YNL192W,CHS1,0,1,0,1,0,2
YNL197C,WHI3,0,0,0,1,1,2
YNL267W,PIK1,0,0,1,1,0,2
YNL271C,BNI1,0,0,0,1,1,2
YNL287W,SEC21,0,1,0,1,0,2
YNL298W,CLA4,0,0,0,1,1,2
YNL309W,STB1,0,0,0,1,1,2
YNR019W,NA,0,0,0,1,1,2
YOL006C,TOP1,0,0,0,1,1,2
YOL087C,YOL087C,0,0,1,1,0,2
YOL109W,ZEO1,0,0,0,1,1,2
YOL123W,HRP1,0,0,0,1,1,2
YOL139C,CDC33,0,0,0,1,1,2
YOL144W,NOP8,0,0,1,0,1,2
YOR042W,CUE5,0,0,0,1,1,2
YOR098C,NUP1,0,0,1,1,0,2
YOR109W,INP53,0,0,1,1,0,2
YOR123C,LEO1,0,1,0,1,0,2
YOR140W,NA,0,0,0,1,1,2
YOR217W,RFC1,0,0,0,1,1,2
YOR298C-A,MBF1,0,1,0,1,0,2
YOR304W,ISW2,0,0,1,1,0,2
YOR359W,VTS1,0,0,0,1,1,2
YPL049C,DIG1,0,0,0,1,1,2
YPL070W,NA,0,0,0,1,1,2
YPL160W,CDC60,0,1,0,1,0,2
YPL180W,TCO89,0,0,0,1,1,2
YPR072W,NOT5,0,0,0,1,1,2
YAL005C,SSA1,0,0,0,1,0,1
YAL017W,PSK1,0,0,0,1,0,1
YAL022C,FUN26,0,0,0,1,0,1
YAL024C,NA,0,0,0,1,0,1
YAL031C,GIP4,0,0,0,1,0,1
YAL034C,FUN19,0,0,0,1,0,1
YAL051W,OAF1,0,0,1,0,0,1
