orf,gene,ThisStudy,Li2019,Dokladal2021,Baro2018,Plank_Cdc55AID,n_published
YNL173C,MDG1,0,0,1,0,0,1
YNL175C,NOP13,0,0,0,1,0,1
YNL180C,NA,0,0,0,1,0,1
YNL183C,NPR1,0,0,0,1,0,1
YNL206C,RTT106,0,0,1,0,0,1
YNL212W,NA,0,0,0,1,0,1
YNL224C,SQS1,0,0,1,0,0,1
YNL227C,JJJ1,0,1,0,0,0,1
YNL230C,ELA1,0,0,0,1,0,1
YNL232W,NA,0,0,0,1,0,1
YNL233W,BNI4,0,0,0,1,0,1
YNL243W,SLA2,0,0,0,1,0,1
YNL245C,CWC25,0,0,0,1,0,1
YNL268W,LYP1,0,0,0,1,0,1
YNL272C,SEC2,0,0,0,1,0,1
YNL273W,TOF1,0,1,0,0,0,1
YNL278W,NA,0,0,0,0,1,1
YNL297C,NA,0,0,0,1,0,1
YNL312W,RFA2,0,0,0,1,0,1
YNL321W,NA,0,0,0,1,0,1
YNR014W,YNR014W,0,0,0,1,0,1
YNR016C,ACC1,0,0,0,1,0,1
YNR031C,SSK2,0,0,0,1,0,1
YNR049C,MSO1,0,0,0,1,0,1
YNR051C,BRE5,0,0,1,0,0,1
YNR052C,POP2,0,0,0,1,0,1
YNR055C,HOL1,0,0,1,0,0,1
YNR068C,YNR068C,0,0,0,1,0,1
YOL016C,CMK2,0,0,0,1,0,1
YOL019W,YOL019W,0,0,0,1,0,1
YOL039W,RPP2A,0,1,0,0,0,1
YOL054W,PSH1,0,0,0,1,0,1
YOL059W,GPD2,0,0,0,1,0,1
YOL060C,MAM3,0,0,0,1,0,1
YOL062C,NA,0,0,0,1,0,1
YOL070C,NBA1,0,0,0,1,0,1
YOL086C,NA,0,0,0,0,1,1
YOL115W,PAP2,0,1,0,0,0,1
YOL130W,NA,0,0,0,0,1,1
YOL137W,BSC6,0,0,1,0,0,1
YOR006C,NA,0,0,0,1,0,1
YOR014W,RTS1,0,0,0,1,0,1
YOR018W,ROD1,0,0,0,1,0,1
YOR020C,HSP10,0,0,0,1,0,1
YOR051C,ETT1,0,1,0,0,0,1
YOR052C,NA,0,0,0,1,0,1
YOR054C,NA,0,0,0,0,1,1
YOR056C,NA,0,0,0,0,1,1
YOR057W,NA,0,0,0,1,0,1
YOR070C,GYP1,0,0,0,1,0,1
YOR083W,WHI5,0,0,0,1,0,1
YOR092W,ECM3,0,0,0,1,0,1
YOR093C,NA,0,0,0,1,0,1
YOR104W,NA,0,0,0,1,0,1
YOR110W,TFC7,0,0,0,1,0,1
YOR127W,RGA1,0,0,0,1,0,1
YOR132W,NA,0,0,0,1,0,1
YOR141C,ARP8,0,0,0,1,0,1
YOR153W,NA,0,0,0,1,0,1
YOR156C,NA,0,0,0,0,1,1
YOR171C,LCB4,0,0,1,0,0,1
YOR173W,DCS2,0,0,0,1,0,1
YOR175C,ALE1,0,0,0,1,0,1
YOR187W,NA,0,0,0,0,1,1
YOR188W,MSB1,0,0,0,1,0,1
YOR195W,SLK19,0,0,0,1,0,1
YOR220W,NA,0,0,0,0,1,1
YOR227W,HER1,0,0,0,1,0,1
YOR233W,KIN4,0,0,0,1,0,1
YOR244W,NA,0,0,0,1,0,1
YOR267C,HRK1,0,0,0,1,0,1
YOR273C,TPO4,0,0,1,0,0,1
YOR287C,NA,0,0,0,0,1,1
YOR296W,YOR296W,0,0,1,0,0,1
YOR322C,LDB19,0,0,0,1,0,1
YOR326W,MYO2,0,0,0,1,0,1
YOR344C,TYE7,0,0,0,1,0,1
YOR352W,YOR352W,0,0,0,1,0,1
YOR355W,GDS1,0,0,0,1,0,1
YOR371C,GPB1,0,0,0,1,0,1
YPL009C,NA,0,0,0,1,0,1
YPL020C,NA,0,0,0,1,0,1
YPL028W,ERG10,0,0,0,1,0,1
YPL030W,NA,0,0,0,0,1,1
YPL032C,NA,0,0,0,0,1,1
YPL043W,NOP4,0,1,0,0,0,1
YPL058C,PDR12,0,0,0,1,0,1
YPL074W,YTA6,0,0,0,1,0,1
YPL075W,GCR1,0,0,0,1,0,1
YPL082C,MOT1,0,0,0,1,0,1
YPL115C,BEM3,0,0,0,1,0,1
YPL116W,HOS3,0,0,0,1,0,1
YPL127C,NA,0,0,0,1,0,1
YPL137C,GIP3,0,0,0,1,0,1
YPL150W,NA,0,0,0,0,1,1
YPL155C,NA,0,0,0,1,0,1
YPL157W,NA,0,0,0,1,0,1
YPL186C,UIP4,0,0,0,1,0,1
YPL193W,RSA1,0,0,1,0,0,1
YPL195W,APL5,0,0,0,1,0,1
YPL221W,FLC1,0,0,0,1,0,1
YPL226W,NEW1,0,0,0,1,0,1
YPL230W,USV1,0,0,0,1,0,1
YPL242C,IQG1,0,0,0,1,0,1
YPL249C,GYP5,0,0,0,1,0,1
YPL255W,NA,0,0,0,0,1,1
YPL265W,NA,0,0,0,1,0,1
YPR008W,NA,0,0,0,1,0,1
YPR035W,GLN1,0,0,1,0,0,1
YPR036W-A,YPR036W-A,0,0,0,1,0,1
YPR065W,ROX1,0,0,0,1,0,1
YPR070W,NA,0,0,0,1,0,1
YPR075C,OPY2,0,0,0,1,0,1
YPR089W,NA,0,0,0,0,1,1
YPR091C,YPR091C,0,0,0,1,0,1
YPR104C,FHL1,0,0,0,1,0,1
YPR117W,YPR117W,0,0,0,1,0,1
YPR143W,NA,0,0,0,0,1,1
YPR158W-B,NA,0,0,0,0,1,1
YPR159W,NA,0,0,0,1,0,1
YPR161C,NA,0,0,0,0,1,1
YPR162C,ORC4,0,0,0,1,0,1
YPR172W,YPR172W,0,0,0,1,0,1
YPR174C,NA,0,0,0,0,1,1
