subcompartment,n,n_higher_in_rim15,n_lower_in_rim15,mean_diff,median_diff
Mitoribosome,3,2,1,0.574,0.945
OXPHOS complexes,9,9,0,0.959,1.264
Inner membrane,36,30,6,0.675,0.701
Outer membrane,42,29,13,0.175,0.191
Matrix,37,30,7,0.488,0.462
Other mito,181,120,61,0.19,0.109
