Gene names,ORF,genotype,nutrient,samplingTime,replicate,intensity,normalized_intensity
AAH1,ADE,WT,P,T30,R1,1,2.004207015
AAH1,ADE,spike-in,P,T30,R3,83551001,60723772.05
AAH1,ADE,rim15KO,P,T30,R3,1,2.345834103
AAH1,ADE,WT,P,T30,R3,1,1.93674488
AAH1,ADE,spike-in,P,T00,R1,196790001,78777200.77
AAH1,ADE,rim15KO,P,T00,R1,155280001,70757344.68
AAH1,ADE,WT,P,T00,R1,158030001,56692847.86
AAH1,ADE,spike-in,P,T00,R3,352820001,92522837.12
AAH1,ADE,rim15KO,P,T00,R3,194830001,59571295.18
AAH1,ADE,WT,P,T00,R3,306190001,68110285.42
AAP1,AAP1,spike-in,C,T00,R1,695780001,278528383.3
AAP1,AAP1,rim15KO,C,T00,R1,571210001,260286596.2
AAP1,AAP1,WT,C,T00,R1,666850001,239230686.7
AAP1,AAP1,spike-in,C,T00,R3,1315900001,345079080.3
AAP1,AAP1,rim15KO,C,T00,R3,858290001,262431077
AAP1,AAP1,WT,C,T00,R3,1478600001,328906456
AAP1,AAP1,spike-in,C,T06,R1,318430001,289791852.9
AAP1,AAP1,rim15KO,C,T06,R1,201410001,222518832.7
AAP1,AAP1,WT,C,T06,R1,175600001,237936887.5
AAP1,AAP1,spike-in,C,T06,R3,540340001,336043833.8
AAP1,AAP1,rim15KO,C,T06,R3,273610001,242641370.2
AAP1,AAP1,WT,C,T06,R3,397230001,328552778.9
AAP1,AAP1,spike-in,C,T16,R1,410550001,347825089.5
AAP1,AAP1,rim15KO,C,T16,R1,161580001,258793337.2
AAP1,AAP1,WT,C,T16,R1,151050001,324894328.7
AAP1,AAP1,spike-in,C,T16,R3,596640001,380982761.3
AAP1,AAP1,rim15KO,C,T16,R3,218960001,285346155.7
AAP1,AAP1,WT,C,T16,R3,251740001,330468284.7
AAP1,AAP1,spike-in,C,T30,R1,374420001,340869275.9
AAP1,AAP1,rim15KO,C,T30,R1,128380001,223659157.5
AAP1,AAP1,WT,C,T30,R1,134810001,344685538.6
AAP1,AAP1,spike-in,C,T30,R3,369270001,309326619.3
AAP1,AAP1,rim15KO,C,T30,R3,128740001,257332720.9
AAP1,AAP1,WT,C,T30,R3,174410001,301135461
AAP1,AAP1,spike-in,P,T06,R1,403980001,326492372.1
AAP1,AAP1,rim15KO,P,T06,R1,210610001,177431585.4
AAP1,AAP1,WT,P,T06,R1,143530001,145262431.7
AAP1,AAP1,spike-in,P,T06,R3,294200001,283342790.5
AAP1,AAP1,rim15KO,P,T06,R3,141670001,157342891.9
AAP1,AAP1,WT,P,T06,R3,175110001,178658849.4
AAP1,AAP1,spike-in,P,T16,R1,340820001,238082525.7
AAP1,AAP1,rim15KO,P,T16,R1,75403001,100249713.5
AAP1,AAP1,WT,P,T16,R1,58626001,93637095.28
AAP1,AAP1,spike-in,P,T16,R3,516530001,301753602.5
AAP1,AAP1,rim15KO,P,T16,R3,109680001,147285962.9
AAP1,AAP1,WT,P,T16,R3,149610001,174784079.9
AAP1,AAP1,spike-in,P,T30,R1,402890001,255560177.2
AAP1,AAP1,rim15KO,P,T30,R1,95889001,141104235.4
AAP1,AAP1,WT,P,T30,R1,48421001,97045709.89
AAP1,AAP1,spike-in,P,T30,R3,331620001,241017068.7
AAP1,AAP1,rim15KO,P,T30,R3,24702001,57946796.37
AAP1,AAP1,WT,P,T30,R3,39486001,76474310.25
AAP1,AAP1,spike-in,P,T00,R1,695780001,278528383.3
AAP1,AAP1,rim15KO,P,T00,R1,571210001,260286596.2
AAP1,AAP1,WT,P,T00,R1,666850001,239230686.7
AAP1,AAP1,spike-in,P,T00,R3,1315900001,345079080.3
AAP1,AAP1,rim15KO,P,T00,R3,858290001,262431077
AAP1,AAP1,WT,P,T00,R3,1478600001,328906456
AAT1,AATM,spike-in,C,T00,R1,9987101,3997946.321
AAT1,AATM,rim15KO,C,T00,R1,11196001,5101747.145
AAT1,AATM,WT,C,T00,R1,12139001,4354834.731
AAT1,AATM,spike-in,C,T00,R3,17589001,4612505.725
AAT1,AATM,rim15KO,C,T00,R3,17054001,5214437.83
AAT1,AATM,WT,C,T00,R3,35377001,7869419.731
AAT1,AATM,spike-in,C,T06,R1,4487001,4083460.508
AAT1,AATM,rim15KO,C,T06,R1,2994801,3308671.96
AAT1,AATM,WT,C,T06,R1,5298001,7178757.749
AAT1,AATM,spike-in,C,T06,R3,2618701,1628601.107
AAT1,AATM,rim15KO,C,T06,R3,1,0.886814697
AAT1,AATM,WT,C,T06,R3,3881101,3210096.205
AAT1,AATM,spike-in,C,T16,R1,1709701,1448488.374
AAT1,AATM,rim15KO,C,T16,R1,2689901,4308258.771
AAT1,AATM,WT,C,T16,R1,1,2.150905836
AAT1,AATM,spike-in,C,T16,R3,1,0.638547132
AAT1,AATM,rim15KO,C,T16,R3,1,1.303188502
AAT1,AATM,WT,C,T16,R3,1,1.312736488
AAT1,AATM,spike-in,C,T30,R1,1,0.910392808
AAT1,AATM,rim15KO,C,T30,R1,1,1.742165102
AAT1,AATM,WT,C,T30,R1,1,2.556824687
AAT1,AATM,spike-in,C,T30,R3,1,0.837670589
AAT1,AATM,rim15KO,C,T30,R3,1,1.99885598
AAT1,AATM,WT,C,T30,R3,1,1.726595145
AAT1,AATM,spike-in,P,T06,R1,8740801,7064223.094
AAT1,AATM,rim15KO,P,T06,R1,14146001,11917512.81
AAT1,AATM,WT,P,T06,R1,15065001,15246838.04
AAT1,AATM,spike-in,P,T06,R3,8353101,8044836.636
AAT1,AATM,rim15KO,P,T06,R3,7541701,8376036.12
AAT1,AATM,WT,P,T06,R3,7119801,7264093.697
AAT1,AATM,spike-in,P,T16,R1,12501001,8732673.795
AAT1,AATM,rim15KO,P,T16,R1,9516301,12652101.85
AAT1,AATM,WT,P,T16,R1,9657101,15424263.48
AAT1,AATM,spike-in,P,T16,R3,15855001,9262392.621
AAT1,AATM,rim15KO,P,T16,R3,9746901,13088819.16
AAT1,AATM,WT,P,T16,R3,11013001,12866100.09
AAT1,AATM,spike-in,P,T30,R1,11136001,7063760.285
AAT1,AATM,rim15KO,P,T30,R1,9240301,13597446.99
AAT1,AATM,WT,P,T30,R1,9345301,18729917.82
AAT1,AATM,spike-in,P,T30,R3,14063001,10220804.74
AAT1,AATM,rim15KO,P,T30,R3,6831701,16026037.19
AAT1,AATM,WT,P,T30,R3,6941801,13444497.54
AAT1,AATM,spike-in,P,T00,R1,9987101,3997946.321
AAT1,AATM,rim15KO,P,T00,R1,11196001,5101747.145
AAT1,AATM,WT,P,T00,R1,12139001,4354834.731
AAT1,AATM,spike-in,P,T00,R3,17589001,4612505.725
AAT1,AATM,rim15KO,P,T00,R3,17054001,5214437.83
AAT1,AATM,WT,P,T00,R3,35377001,7869419.731
AAT2,AATC,spike-in,C,T00,R1,2121600001,849299803.8
AAT2,AATC,rim15KO,C,T00,R1,1691500001,770775681.5
AAT2,AATC,WT,C,T00,R1,2388200001,856760478.7
AAT2,AATC,spike-in,C,T00,R3,3015100001,790674013.7
AAT2,AATC,rim15KO,C,T00,R3,2621500001,801550837
AAT2,AATC,WT,C,T00,R3,3270500001,727504777.4
AAT2,AATC,spike-in,C,T06,R1,1058800001,963576337.5
AAT2,AATC,rim15KO,C,T06,R1,868020001,958993080.9
AAT2,AATC,WT,C,T06,R1,733370001,993711699.5
AAT2,AATC,spike-in,C,T06,R3,1315800001,818311574.2
AAT2,AATC,rim15KO,C,T06,R3,1256100001,1113927942
AAT2,AATC,WT,C,T06,R3,972020001,803967151.8
AAT2,AATC,spike-in,C,T16,R1,1149800001,974130525.5
AAT2,AATC,rim15KO,C,T16,R1,1513700001,2424405696
AAT2,AATC,WT,C,T16,R1,423340001,910564478.9
AAT2,AATC,spike-in,C,T16,R3,1437500001,917911502.5
