Protein IDs,Protein names,Gene names,Fasta headers,nutrient,time,pvalue,qvalue,log2FC
O14455,60S ribosomal protein L36-B,RPL36B,sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3,C,T00,0.8877776721094298,0.9319018278483313,-0.0012699999999998823
O14455,60S ribosomal protein L36-B,RPL36B,sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3,C,T06,0.6492927888984292,0.7703201619141179,0.01506833333333324
O14455,60S ribosomal protein L36-B,RPL36B,sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3,C,T16,0.028541470863462478,0.1531457369676916,-0.06729166666666664
O14455,60S ribosomal protein L36-B,RPL36B,sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3,C,T30,0.8332182884668233,0.8971082264266882,0.006536666666666635
O14455,60S ribosomal protein L36-B,RPL36B,sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3,P,T00,0.34235895792840726,0.5247299718830646,0.00915017718494937
O14455,60S ribosomal protein L36-B,RPL36B,sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3,P,T06,0.0851042935760965,0.26476380335995003,0.36778177132885576
O14455,60S ribosomal protein L36-B,RPL36B,sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3,P,T16,0.12852292097212795,0.31427974134427,0.5347946854200678
O14455,60S ribosomal protein L36-B,RPL36B,sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3,P,T30,0.13452867615703615,0.3191606725327641,0.6729749765522701
O14467,Multiprotein-bridging factor 1,MBF1,sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2,C,T00,0.17377859978860427,0.3586614753458537,0.043749999999999956
O14467,Multiprotein-bridging factor 1,MBF1,sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2,C,T06,0.5866839653690563,0.7250272810195679,0.038263333333333316
