Protein IDs,Protein names,Gene names,Fasta headers,rim15KO_C_T00_R1,rim15KO_C_T00_R2,rim15KO_C_T00_R3,rim15KO_C_T06_R1,rim15KO_C_T06_R2,rim15KO_C_T06_R3,rim15KO_C_T16_R1,rim15KO_C_T16_R2,rim15KO_C_T16_R3,rim15KO_C_T30_R1,rim15KO_C_T30_R2,rim15KO_C_T30_R3,rim15KO_N_T00_R1,rim15KO_N_T00_R2,rim15KO_N_T00_R3,rim15KO_N_T06_R1,rim15KO_N_T06_R2,rim15KO_N_T06_R3,rim15KO_N_T16_R1,rim15KO_N_T16_R2,rim15KO_N_T16_R3,rim15KO_N_T30_R1,rim15KO_N_T30_R2,rim15KO_N_T30_R3,rim15KO_P_T00_R1,rim15KO_P_T00_R2,rim15KO_P_T00_R3,rim15KO_P_T06_R1,rim15KO_P_T06_R2,rim15KO_P_T06_R3,rim15KO_P_T16_R1,rim15KO_P_T16_R2,rim15KO_P_T16_R3,rim15KO_P_T30_R1,rim15KO_P_T30_R2,rim15KO_P_T30_R3,WT_C_T00_R1,WT_C_T00_R2,WT_C_T00_R3,WT_C_T06_R1,WT_C_T06_R2,WT_C_T06_R3,WT_C_T16_R1,WT_C_T16_R2,WT_C_T16_R3,WT_C_T30_R1,WT_C_T30_R2,WT_C_T30_R3,WT_N_T00_R1,WT_N_T00_R2,WT_N_T00_R3,WT_N_T06_R1,WT_N_T06_R2,WT_N_T06_R3,WT_N_T16_R1,WT_N_T16_R2,WT_N_T16_R3,WT_N_T30_R1,WT_N_T30_R2,WT_N_T30_R3,WT_P_T00_R1,WT_P_T00_R2,WT_P_T00_R3,WT_P_T06_R1,WT_P_T06_R2,WT_P_T06_R3,WT_P_T16_R1,WT_P_T16_R2,WT_P_T16_R3,WT_P_T30_R1,WT_P_T30_R2,WT_P_T30_R3
Q9URQ5,High temperature lethal protein 1,HTL1,sp|Q9URQ5|HTL1_YEAST High temperature lethal protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HTL1 PE=1 SV=1,1.0611,0.93983,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0611,0.93983,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0611,0.83483,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81349,0.83483,0.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81349,0.83483,0.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81349,0.93983,0.852,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9P305,mRNA stability protein IGO2,IGO2,sp|Q9P305|IGO2_YEAST mRNA stability protein IGO2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IGO2 PE=1 SV=3,1.0193,0.98591,0.87741,0.81771,1.1326,NA,NA,NA,NA,NA,NA,NA,1.0193,0.98591,0.87741,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0193,1.0572,0.87741,NA,NA,0.86778,NA,NA,NA,NA,NA,NA,1.0212,1.0572,0.73212,1.4343,0.91568,NA,NA,NA,NA,NA,NA,NA,1.0212,1.0572,0.73212,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0212,0.98591,0.73212,NA,NA,0.9359,NA,NA,NA,NA,NA,NA
Q99394,Trafficking protein particle complex subunit 33,TRS33,sp|Q99394|TRS33_YEAST Trafficking protein particle complex subunit 33 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRS33 PE=1 SV=1,1.1988,0.93801,1.1355,0.72724,NA,0.92847,NA,NA,NA,NA,NA,NA,1.1988,0.93801,1.1355,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1988,1.272,1.1355,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2255,1.272,1.067,0.93572,NA,0.90268,NA,NA,NA,NA,NA,NA,1.2255,1.272,1.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2255,0.93801,1.067,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q99385,Vacuolar calcium ion transporter,VCX1,sp|Q99385|VCX1_YEAST Vacuolar calcium ion transporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VCX1 PE=1 SV=1,0.74203,0.92767,1.0192,0.96652,1.0979,NA,NA,NA,NA,0.61954,NA,NA,0.74203,0.92767,1.0192,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74203,0.83477,1.0192,1.1925,NA,NA,NA,1.1658,NA,NA,NA,NA,0.96386,0.83477,1.0995,1.0982,1.0552,NA,NA,NA,NA,1.0293,NA,NA,0.96386,0.83477,1.0995,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96386,0.92767,1.0995,1.265,NA,NA,NA,1.8284,NA,NA,NA,NA
Q99383,Nuclear polyadenylated RNA-binding protein 4,HRP1,sp|Q99383|HRP1_YEAST Nuclear polyadenylated RNA-binding protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HRP1 PE=1 SV=1,1.0616,1.0745,0.97787,0.9959,1.0189,0.95135,0.87922,0.82717,0.90826,0.87692,0.86591,1.1506,1.0616,1.0745,0.97787,0.97961,0.95284,0.81514,NA,0.80215,1.1694,NA,NA,1.5526,1.0616,0.99846,0.97787,0.86116,0.86927,0.86548,0.78176,0.84843,0.86229,0.69269,0.79518,0.83014,1.007,0.99846,0.98526,1.0704,0.91979,0.86066,0.77143,0.84547,0.71264,0.81649,0.92424,0.84414,1.007,0.99846,0.98526,0.96303,1.0256,0.82265,NA,0.6982,0.59287,NA,NA,0.46947,1.007,1.0745,0.98526,0.88372,0.94346,0.85785,0.81329,0.8014,0.78853,0.76875,0.75965,0.72944
Q99369,Family of serine hydrolases 3,FSH3,sp|Q99369|FSH3_YEAST Family of serine hydrolases 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FSH3 PE=2 SV=1,NA,NA,0.93599,NA,0.82445,NA,NA,0.88121,0.97318,NA,NA,NA,NA,NA,0.93599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93599,NA,NA,NA,NA,1.0195,0.81525,0.3318,0.94283,0.76914,NA,NA,1.1777,NA,1.0514,NA,NA,1.4448,1.003,NA,NA,NA,NA,NA,1.1777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1777,NA,NA,NA,NA,0.68402,0.79919,0.38031,0.7896,0.94257
Q99321,Diphosphoinositol polyphosphate phosphohydrolase DDP1,DDP1,sp|Q99321|DDP1_YEAST Diphosphoinositol polyphosphate phosphohydrolase DDP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DDP1 PE=1 SV=3,1.3689,1.2396,1.3996,NA,NA,1.7516,NA,NA,NA,NA,NA,1.5585,1.3689,1.2396,1.3996,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3689,1.2609,1.3996,2.0944,1.5528,NA,NA,1.5204,1.4383,1.2409,1.3687,1.2251,0.97901,1.2609,1.0284,NA,NA,1.2745,NA,NA,NA,NA,NA,0.95101,0.97901,1.2609,1.0284,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97901,1.2396,1.0284,1.7842,1.3542,NA,NA,1.3668,1.1506,1.1835,1.2159,1.0778
Q99316,Protein disulfide isomerase MPD2,MPD2,sp|Q99316|MPD2_YEAST Protein disulfide isomerase MPD2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MPD2 PE=1 SV=1,0.94968,1.0565,1.1064,NA,NA,1.6312,1.3966,1.7813,2.4461,NA,2.0562,2.0845,0.94968,1.0565,1.1064,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94968,1.0272,1.1064,NA,NA,1.2673,NA,0.89098,NA,0.73634,NA,NA,0.98763,1.0272,1.0376,NA,NA,1.3212,1.3264,1.3184,1.3295,NA,1.3774,1.2831,0.98763,1.0272,1.0376,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98763,1.0565,1.0376,NA,NA,1.1365,NA,1.0526,NA,0.86463,NA,NA
Q99312,IMP-specific 5-nucleotidase 1,ISN1,sp|Q99312|ISN1_YEAST IMP-specific 5-nucleotidase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ISN1 PE=1 SV=1,0.91236,1.0148,0.99009,0.93817,0.99038,1.0644,1.3393,1.4459,1.1865,1.3955,1.3531,1.0155,0.91236,1.0148,0.99009,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91236,1.0004,0.99009,1.6804,1.7223,1.8099,1.6971,1.6457,1.577,1.8846,1.7922,1.5827,1.0851,1.0004,1.1746,1.2479,1.257,1.3283,1.484,1.2547,1.139,1.6168,1.2727,1.175,1.0851,1.0004,1.1746,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0851,1.0148,1.1746,1.9751,1.627,2.0364,1.7486,1.7753,1.5697,1.6611,1.7782,1.6654
Q99299,Altered inheritance of mitochondria protein 44,AIM44,sp|Q99299|AIM44_YEAST Altered inheritance of mitochondria protein 44 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AIM44 PE=1 SV=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q99297,Mitochondrial 2-oxodicarboxylate carrier 2,ODC2,sp|Q99297|ODC2_YEAST Mitochondrial 2-oxodicarboxylate carrier 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ODC2 PE=1 SV=1,0.95915,1.0262,1.1897,1.3302,1.3045,1.6097,2.4042,1.8554,2.5589,1.981,NA,2.1198,0.95915,1.0262,1.1897,NA,NA,1.808,NA,2.3505,3.4062,NA,NA,NA,0.95915,0.66044,1.1897,NA,0.86987,1.2152,0.61888,0.76265,NA,0.7298,NA,NA,0.7166,0.66044,1.1146,1.1233,1.2966,1.5962,1.2658,1.193,1.412,1.1097,NA,1.2971,0.7166,0.66044,1.1146,NA,NA,1.7769,NA,2.8083,0.9989,NA,NA,NA,0.7166,1.0262,1.1146,NA,0.86181,1.0468,0.47092,0.64631,NA,0.45582,NA,NA
Q99288,Broad-range acid phosphatase DET1,DET1,sp|Q99288|DET1_YEAST Broad-range acid phosphatase DET1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DET1 PE=1 SV=1,1.027,NA,1.0408,NA,NA,1.3917,1.9006,1.9099,1.9906,1.9463,NA,NA,1.027,NA,1.0408,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.027,NA,1.0408,NA,NA,NA,NA,NA,NA,NA,0.90639,NA,0.8559,NA,0.88389,NA,NA,0.98657,1.5224,1.0789,1.2636,1.2166,NA,NA,0.8559,NA,0.88389,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8559,NA,0.88389,NA,NA,NA,NA,NA,NA,NA,1.1692,NA
Q99287,Protein SEY1,SEY1,sp|Q99287|SEY1_YEAST Protein SEY1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEY1 PE=1 SV=1,0.89351,0.95249,0.90033,1.3859,1.1009,1.1318,1.5318,1.4259,1.2031,1.2372,1.5386,1.1802,0.89351,0.95249,0.90033,NA,1.5752,1.8142,NA,NA,NA,NA,NA,NA,0.89351,0.90144,0.90033,1.0578,0.93922,0.94017,NA,0.62608,0.73158,0.7825,0.63951,0.57029,0.99594,0.90144,1.013,0.88685,1.0298,1.1043,1.0576,0.99174,0.99957,1.0881,0.90565,0.9161,0.99594,0.90144,1.013,NA,0.95299,1.1133,NA,NA,NA,NA,NA,NA,0.99594,0.95249,1.013,0.75881,1.0941,1.0031,NA,0.83924,0.76189,0.48851,0.8114,0.62365
Q99271,Na(+)/H(+) antiporter,NHA1,sp|Q99271|NAH1_YEAST Na(+)/H(+) antiporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NHA1 PE=1 SV=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q99260,GTP-binding protein YPT6,YPT6,sp|Q99260|YPT6_YEAST GTP-binding protein YPT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPT6 PE=1 SV=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4796,1.3411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2088,1.5254,NA,NA,NA,NA,NA,NA
Q99258,"3,4-dihydroxy-2-butanone 4-phosphate synthase",RIB3,"sp|Q99258|RIB3_YEAST 3,4-dihydroxy-2-butanone 4-phosphate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RIB3 PE=1 SV=1",1.1129,0.95811,1.0679,0.91973,0.97354,0.86119,0.90095,1.1172,1.0889,1.1102,0.93671,0.8724,1.1129,0.95811,1.0679,NA,NA,0.69098,NA,NA,0.85229,NA,NA,NA,1.1129,1.1662,1.0679,0.93315,1.0049,0.92004,0.92627,1.0451,0.89138,0.76288,0.99537,0.82201,0.98421,1.1662,0.73786,0.87518,0.89338,0.80354,0.91575,0.91411,0.74916,1.0023,0.92243,0.80546,0.98421,1.1662,0.73786,NA,NA,0.6924,NA,NA,0.69828,NA,NA,NA,0.98421,0.95811,0.73786,1.0043,0.75901,0.81951,0.95036,0.84704,0.78605,0.83172,0.66529,0.72723
Q99257,mRNA export factor MEX67,MEX67,sp|Q99257|MEX67_YEAST mRNA export factor MEX67 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MEX67 PE=1 SV=1,0.97371,0.99982,1.0237,1.0473,0.96786,1.1835,0.97999,0.80195,0.88947,1.0095,NA,0.62541,0.97371,0.99982,1.0237,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97371,0.95529,1.0237,0.96562,0.97176,0.98456,0.81588,0.73935,0.89012,0.80658,0.79446,0.7894,0.97516,0.95529,0.91941,1.0191,2.1297,0.84358,0.77221,1.0683,1.7509,0.71018,NA,0.83598,0.97516,0.95529,0.91941,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97516,0.99982,0.91941,0.88565,0.81375,0.99539,0.67792,0.7373,0.88327,0.78381,0.79955,0.94771
Q99252,Protein ECM3,ECM3,sp|Q99252|ECM3_YEAST Protein ECM3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ECM3 PE=1 SV=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q99247,Uncharacterized WD repeat-containing protein YOL087C,Uncharacterized WD repeat-containing protein YOL087C,sp|Q99247|YO087_YEAST Uncharacterized WD repeat-containing protein YOL087C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YOL087C PE=1 SV=1,0.75221,1.0431,0.9159,0.91519,1.2819,0.97772,NA,NA,NA,NA,NA,NA,0.75221,1.0431,0.9159,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75221,0.83784,0.9159,NA,NA,NA,1.0176,0.72246,NA,0.87785,NA,NA,1.0026,0.83784,0.92266,0.95906,1.047,0.89762,NA,NA,NA,NA,NA,NA,1.0026,0.83784,0.92266,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0026,1.0431,0.92266,NA,NA,NA,0.98409,1.0036,NA,NA,NA,NA
Q99234,Protein DFG16,DFG16,sp|Q99234|DFG16_YEAST Protein DFG16 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DFG16 PE=1 SV=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q99231,Transposon Ty1-DR3 Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H,TY1B-DR3,sp|Q99231|YD12B_YEAST Transposon Ty1-DR3 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-DR3 PE=1 SV=2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q99222,ARF3-interacting protein 1,AFI1,sp|Q99222|AFI1_YEAST ARF3-interacting protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AFI1 PE=1 SV=1,NA,0.67328,0.29424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67328,0.29424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4621,0.29424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4621,1.0785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4621,1.0785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67328,1.0785,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q99216,Pre-rRNA-processing protein PNO1,PNO1,sp|Q99216|PNO1_YEAST Pre-rRNA-processing protein PNO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PNO1 PE=1 SV=1,0.97681,1.0041,0.89164,NA,NA,0.38158,NA,NA,NA,NA,NA,NA,0.97681,1.0041,0.89164,NA,NA,NA,NA,NA,NA,NA,NA,1.1432,0.97681,0.92081,0.89164,NA,NA,NA,0.21374,NA,NA,NA,NA,NA,0.96564,0.92081,0.94204,NA,NA,0.26247,NA,NA,NA,NA,NA,NA,0.96564,0.92081,0.94204,NA,NA,NA,NA,NA,NA,NA,NA,8.36,0.96564,1.0041,0.94204,NA,NA,NA,0.1799,NA,NA,NA,NA,NA
Q99210,Maf-like protein YOR111W,Maf-like protein YOR111W,sp|Q99210|NTPPA_YEAST dTTP/UTP pyrophosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YOR111W PE=1 SV=1,0.84713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84713,NA,NA,NA,1.1506,1.1017,1.0342,1.0769,0.91517,NA,0.83109,0.88104,0.92575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92575,NA,NA,NA,0.98973,1.3116,0.87832,1.1122,0.75755,NA,0.98887,0.8914
Q99207,Nucleolar complex protein 14,NOP14,sp|Q99207|NOP14_YEAST Nucleolar complex protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NOP14 PE=1 SV=1,0.98869,1.0542,1.0566,0.95576,0.97867,0.68463,NA,NA,NA,NA,NA,NA,0.98869,1.0542,1.0566,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98869,0.80224,1.0566,0.54721,NA,0.46672,NA,NA,NA,NA,NA,NA,1.0346,0.80224,1.0588,0.92643,0.73534,0.79471,NA,NA,NA,NA,NA,NA,1.0346,0.80224,1.0588,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0346,1.0542,1.0588,0.64402,NA,0.85316,NA,NA,NA,NA,NA,NA
Q99186,AP-2 complex subunit mu,APM4,sp|Q99186|AP2M_YEAST AP-2 complex subunit mu OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=APM4 PE=1 SV=1,0.99932,0.90789,0.84833,1.0434,0.95827,1.143,NA,NA,NA,NA,NA,NA,0.99932,0.90789,0.84833,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99932,1.0061,0.84833,NA,NA,NA,NA,NA,0.91436,NA,NA,NA,1.0858,1.0061,1.1417,1.2603,1.0829,1.2671,NA,NA,NA,NA,NA,NA,1.0858,1.0061,1.1417,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0858,0.90789,1.1417,NA,NA,NA,NA,NA,0.9404,NA,NA,NA
Q96VH5,MICOS complex subunit MIC10,MIC10,sp|Q96VH5|MIC10_YEAST MICOS complex subunit MIC10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MIC10 PE=1 SV=1,0.80497,1.524,NA,1.5896,1.6185,NA,NA,NA,NA,NA,NA,NA,0.80497,1.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80497,1.093,NA,NA,1.6518,2.0143,NA,1.1899,1.2161,NA,1.0693,1.1779,0.87478,1.093,NA,1.2835,1.2987,NA,NA,NA,NA,NA,NA,NA,0.87478,1.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87478,1.524,NA,NA,1.878,2.0667,NA,1.3573,1.3025,NA,1.2303,1.266
Q96VH4,Putative nitroreductase HBN1,HBN1,sp|Q96VH4|HBN1_YEAST Putative nitroreductase HBN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HBN1 PE=1 SV=1,0.63658,0.59322,0.53726,NA,NA,NA,2.9565,NA,2.8744,2.5452,NA,NA,0.63658,0.59322,0.53726,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63658,0.9592,0.53726,NA,1.8794,NA,NA,NA,NA,NA,NA,NA,0.84655,0.9592,0.62336,NA,NA,NA,1.4306,NA,1.0306,1.2829,NA,NA,0.84655,0.9592,0.62336,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84655,0.59322,0.62336,NA,0.79666,NA,NA,NA,NA,NA,NA,NA
Q92393,Transposon Ty1-OR Gag-Pol polyprotein;Capsid protein;Ty1 protease;Integrase;Reverse transcriptase/ribonuclease H,TY1B-OR,sp|Q92393|YO12B_YEAST Transposon Ty1-OR Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-OR PE=3 SV=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q92331,Vacuolar protein sorting-associated protein 5,VPS5,sp|Q92331|VPS5_YEAST Vacuolar protein sorting-associated protein 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VPS5 PE=1 SV=1,0.89792,0.89073,0.91805,1.2166,1.453,0.99121,1.9954,1.4045,NA,1.4594,1.776,1.4201,0.89792,0.89073,0.91805,NA,NA,NA,NA,NA,NA,NA,NA,2.5082,0.89792,1.0005,0.91805,0.86855,0.93645,1.0679,NA,0.99683,1.0719,0.54231,0.90887,NA,1.0125,1.0005,0.94881,1.2681,1.353,1.1158,1.7915,1.118,NA,1.2437,1.2794,1.2041,1.0125,1.0005,0.94881,NA,NA,NA,NA,NA,NA,NA,NA,3.2084,1.0125,0.89073,0.94881,1.0442,0.85092,1.1059,NA,1.0724,1.0042,0.56175,0.71023,NA
Q92317,Negative cofactor 2 complex subunit beta,NCB2,sp|Q92317|NCB2_YEAST Negative cofactor 2 complex subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NCB2 PE=1 SV=1,NA,0.95718,1.2646,1.2638,1.0936,NA,1.0199,1.2264,NA,NA,1.1674,0.99836,NA,0.95718,1.2646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0034,1.2646,NA,NA,1.0444,NA,1.0633,0.97692,NA,NA,NA,NA,1.0034,0.94774,1.115,0.87917,NA,0.89375,0.88531,NA,NA,0.99536,0.8373,NA,1.0034,0.94774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95718,0.94774,NA,NA,1.0831,NA,0.92311,0.93342,NA,NA,NA
Q8J0M4,UPF0357 protein YCL012C,UPF0357 protein YCL012C,sp|Q8J0M4|YCB2_YEAST UPF0357 protein YCL012C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YCL012C PE=1 SV=2,0.93317,1.1063,0.90423,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93317,1.1063,0.90423,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93317,0.81585,0.90423,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0505,0.81585,1.0582,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0505,0.81585,1.0582,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0505,1.1063,1.0582,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q86ZR7,Putative uncharacterized hydrolase YKL033W-A,YKL033W-A,sp|Q86ZR7|YKD3A_YEAST Uncharacterized hydrolase YKL033W-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YKL033W-A PE=3 SV=2,1.0945,1.0208,1.1422,0.9507,0.80239,0.9356,0.60225,0.63594,0.88604,0.49326,0.31509,NA,1.0945,1.0208,1.1422,NA,NA,1.0598,NA,NA,NA,NA,NA,NA,1.0945,1.0474,1.1422,1.0961,1.1044,0.94953,0.87653,1.0762,0.95474,0.70993,0.90547,0.78342,0.97957,1.0474,0.92072,0.90111,1.1006,0.92259,0.81226,0.88214,0.74295,0.45707,0.63526,NA,0.97957,1.0474,0.92072,NA,NA,1.1859,NA,NA,NA,NA,NA,NA,0.97957,1.0208,0.92072,0.94386,0.83757,0.82343,0.80731,0.70906,0.69913,0.71166,0.68421,0.67194
