Protein IDs,Protein names,Gene names,Fasta headers,rim15KO_C_T00_R1,rim15KO_C_T00_R2,rim15KO_C_T00_R3,rim15KO_C_T06_R1,rim15KO_C_T06_R2,rim15KO_C_T06_R3,rim15KO_C_T16_R1,rim15KO_C_T16_R2,rim15KO_C_T16_R3,rim15KO_C_T30_R1,rim15KO_C_T30_R2,rim15KO_C_T30_R3,rim15KO_N_T00_R1,rim15KO_N_T00_R2,rim15KO_N_T00_R3,rim15KO_N_T06_R1,rim15KO_N_T06_R2,rim15KO_N_T06_R3,rim15KO_N_T16_R1,rim15KO_N_T16_R2,rim15KO_N_T16_R3,rim15KO_N_T30_R1,rim15KO_N_T30_R2,rim15KO_N_T30_R3,rim15KO_P_T00_R1,rim15KO_P_T00_R2,rim15KO_P_T00_R3,rim15KO_P_T06_R1,rim15KO_P_T06_R2,rim15KO_P_T06_R3,rim15KO_P_T16_R1,rim15KO_P_T16_R2,rim15KO_P_T16_R3,rim15KO_P_T30_R1,rim15KO_P_T30_R2,rim15KO_P_T30_R3,WT_C_T00_R1,WT_C_T00_R2,WT_C_T00_R3,WT_C_T06_R1,WT_C_T06_R2,WT_C_T06_R3,WT_C_T16_R1,WT_C_T16_R2,WT_C_T16_R3,WT_C_T30_R1,WT_C_T30_R2,WT_C_T30_R3,WT_N_T00_R1,WT_N_T00_R2,WT_N_T00_R3,WT_N_T06_R1,WT_N_T06_R2,WT_N_T06_R3,WT_N_T16_R1,WT_N_T16_R2,WT_N_T16_R3,WT_N_T30_R1,WT_N_T30_R2,WT_N_T30_R3,WT_P_T00_R1,WT_P_T00_R2,WT_P_T00_R3,WT_P_T06_R1,WT_P_T06_R2,WT_P_T06_R3,WT_P_T16_R1,WT_P_T16_R2,WT_P_T16_R3,WT_P_T30_R1,WT_P_T30_R2,WT_P_T30_R3
Q03388,Vacuolar protein sorting-associated protein 72,VPS72,sp|Q03388|VPS72_YEAST Vacuolar protein sorting-associated protein 72 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VPS72 PE=1 SV=2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q03373,Down-regulator of invasive growth 2,DIG2,sp|Q03373|DIG2_YEAST Down-regulator of invasive growth 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DIG2 PE=1 SV=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q03362,Uncharacterized protein YDR476C,YDR476C,sp|Q03362|YD476_YEAST Uncharacterized protein YDR476C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YDR476C PE=1 SV=1,0.54188,0.49366,0.72437,NA,NA,NA,NA,NA,0.77433,NA,NA,NA,0.54188,0.49366,0.72437,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54188,0.94482,0.72437,NA,0.61613,NA,NA,NA,NA,NA,NA,0.39039,0.62762,0.94482,0.83973,NA,NA,NA,NA,NA,0.91181,NA,NA,NA,0.62762,0.94482,0.83973,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62762,0.49366,0.83973,NA,0.54672,NA,NA,NA,NA,NA,NA,0.62947
Q03361,Uncharacterized protein JIP4,JIP4,sp|Q03361|JIP4_YEAST Uncharacterized protein JIP4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=JIP4 PE=1 SV=2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q03337,Trafficking protein particle complex subunit 31,TRS31,sp|Q03337|TRS31_YEAST Trafficking protein particle complex subunit 31 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRS31 PE=1 SV=1,0.70723,1.0811,1.003,NA,NA,NA,NA,NA,NA,NA,0.85989,NA,0.70723,1.0811,1.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70723,1.119,1.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79721,1.119,1.0866,NA,NA,NA,NA,NA,NA,NA,1.014,NA,0.79721,1.119,1.0866,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79721,1.0811,1.0866,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q03330,Histone acetyltransferase GCN5,GCN5,sp|Q03330|GCN5_YEAST Histone acetyltransferase GCN5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GCN5 PE=1 SV=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87816,0.92837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0125,0.80174,NA,NA,NA
Q03323,COMPASS component SDC1,SDC1,sp|Q03323|SDC1_YEAST COMPASS component SDC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SDC1 PE=1 SV=1,NA,NA,1.1001,NA,NA,0.81813,NA,NA,NA,NA,NA,NA,NA,NA,1.1001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1001,NA,NA,NA,NA,1.3083,NA,NA,NA,NA,NA,NA,1.0789,NA,NA,0.76114,NA,NA,NA,NA,NA,NA,NA,NA,1.0789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0789,NA,NA,NA,NA,0.79096,NA,NA,NA,NA
Q03306,Serine/threonine-protein kinase PKH3,PKH3,sp|Q03306|PKH3_YEAST Serine/threonine-protein kinase PKH3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PKH3 PE=1 SV=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q03305,Protein arginine N-methyltransferase 2,RMT2,sp|Q03305|RMT2_YEAST Protein arginine N-methyltransferase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RMT2 PE=1 SV=1,1.3639,1.508,1.0745,NA,1.2388,1.0234,1.0567,NA,NA,NA,NA,NA,1.3639,1.508,1.0745,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3639,1.0467,1.0745,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88017,1.0467,0.69253,NA,1.098,0.71471,0.63373,NA,NA,NA,NA,NA,0.88017,1.0467,0.69253,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88017,1.508,0.69253,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q03281,Inner nuclear membrane protein HEH2,HEH2,sp|Q03281|HEH2_YEAST Inner nuclear membrane protein HEH2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HEH2 PE=1 SV=1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q03280,E3 ubiquitin-protein ligase TOM1,TOM1,sp|Q03280|TOM1_YEAST E3 ubiquitin-protein ligase TOM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOM1 PE=1 SV=1,1.2078,0.95584,1.0555,1.387,NA,1.0353,NA,NA,1.512,NA,1.6601,NA,1.2078,0.95584,1.0555,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2078,0.92114,1.0555,NA,NA,0.64688,NA,0.57514,NA,NA,NA,NA,1.5919,0.92114,1.0662,0.76534,NA,1.088,NA,NA,1.0583,NA,1.2034,NA,1.5919,0.92114,1.0662,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5919,0.95584,1.0662,NA,NA,0.98719,NA,0.88717,NA,NA,NA,NA
