Protein IDs,Protein names,Gene names,Fasta headers,genotype,samplingTime,data,pvalue,qvalue,meanDF,log2FC
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,rim15KO,T30,ratio,0.05118680683811545,0.30597136443731654,1.4637872786253339,0.5497059126585545
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T00,intensity,1,1,1,0
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T00,normed_intensity,1,1,1,0
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T00,normed_ratio,0.8716310113864704,1,0.987448584780377,-0.01822246409100007
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T00,ratio,0.40344070708108637,0.79969258681127,0.9764455173561974,-0.03438854645666518
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T06,intensity,0.3844075399977522,0.7812268865672932,1.5520464906567808,0.6341717732695162
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T06,normed_intensity,0.3834472398371278,0.7807541533456336,1.3480427621132423,0.43086626188342564
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T06,normed_ratio,0.5094111796662729,0.8980367965097541,1.0688073394495412,0.09600181987735378
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T06,ratio,0.8436696441180092,1,1.0297209178337812,0.04225338108408847
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T16,intensity,0.6291028104699339,0.9930355190044218,1.2760289719787723,0.3516610855726816
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T16,normed_intensity,0.28323487468752,0.7508857356005338,1.5949549372220004,0.6735156636360755
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T16,normed_ratio,0.15339734814343514,0.543981036282069,1.3507933473523228,0.4338069792126563
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T16,ratio,0.8312623913051027,1,0.9433481690853864,-0.08413775865593029
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T30,intensity,0.8744177793056335,1,0.9491776074416084,-0.075250029347085
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T30,normed_intensity,0.7256006458626328,1,1.1358210591998923,0.18373556605800784
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T30,normed_ratio,0.44290340803827255,0.8372796529394467,0.9732482513191804,-0.039120247470378344
O13297,mRNA-capping enzyme subunit beta,CET1,sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2,WT,T30,ratio,0.24693671931370836,0.7026834831458308,0.843423940778269,-0.24567012146586129
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,rim15KO,T00,intensity,1,1,1,0
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,rim15KO,T00,normed_intensity,1,1,1,0
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,rim15KO,T00,normed_ratio,0.6330470558061192,0.9961165552521207,1.0839397109535434,0.11628451579954394
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,rim15KO,T00,ratio,0.6578486434100446,1,1.098283285611262,0.13525022377268112
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,rim15KO,T06,intensity,0.029430499508616266,0.22213019867217515,0.33623083018692024,-1.5724760784675964
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,rim15KO,T06,normed_intensity,0.019496042230781822,0.17703827931962554,0.3815813639083535,-1.3899373817555158
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,rim15KO,T06,normed_ratio,0.358732493143882,0.7720688514764645,0.7974483096016685,-0.326537088107911
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,rim15KO,T06,ratio,0.11733680981032768,0.48566042583307795,0.6011327647891739,-0.7342444384767796
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,rim15KO,T16,intensity,0.19367494791372383,0.6157453123226515,0,-Inf
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,rim15KO,T16,normed_intensity,0.1267239320041464,0.49654261278616035,0,-Inf
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,rim15KO,T30,intensity,0.13863081993150156,0.5168238342809716,0.145165694271394,-2.7842275406732617
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,rim15KO,T30,normed_intensity,0.10118730136904155,0.45169587455551113,0.184388244114238,-2.439181416878983
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,WT,T00,intensity,1,1,1,0
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,WT,T00,normed_intensity,1,1,1,0
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,WT,T00,normed_ratio,0.3367972693228812,0.7720688514764645,0.9337694894527668,-0.09886164502465807
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,WT,T00,ratio,0.583964794481963,0.9590642607190115,0.9346535777109459,-0.09749635483595474
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,WT,T06,intensity,0.12598236354121697,0.49543306830745865,0.3426385139772155,-1.5452407694986963
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,WT,T06,normed_intensity,0.03475744365943962,0.24420813394061636,0.3187034690251604,-1.6497133722317228
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,WT,T06,normed_ratio,0.09405981593828043,0.43335743962051115,0.6201053473657964,-0.6894147645306423
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,WT,T06,ratio,0.4823666261172779,0.874567750043389,0.6092075069095391,-0.7149943754613083
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,WT,T16,intensity,0.11660293445325232,0.48566042583307795,0,-Inf
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,WT,T16,normed_intensity,0.1592135592990075,0.5555109878683602,0,-Inf
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,WT,T30,intensity,0.10889991283896164,0.4709161170263327,0.0999316619544681,-3.32291434151052
O13547,Covalently-linked cell wall protein 14,CCW14,sp|O13547|CCW14_YEAST Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1,WT,T30,normed_intensity,0.07343738526437929,0.3769429048603674,0.1764252874361705,-2.5028707344221615
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,rim15KO,T00,intensity,1,1,1,0
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,rim15KO,T00,normed_intensity,1,1,1,0
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,rim15KO,T00,normed_ratio,0.36288864230234114,0.7720688514764645,0.9695592912312584,-0.044598969067132524
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,rim15KO,T00,ratio,0.6839539330733058,1,0.9703925471351311,-0.04335962465614081
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,rim15KO,T06,intensity,0.45942374507813016,0.8530407875864962,0.8725273403363276,-0.19672775651676144
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,rim15KO,T06,normed_intensity,0.5821874967152493,0.9579500759938062,1.0412035549998635,0.05825214268247474
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,rim15KO,T06,normed_ratio,0.11415437395804429,0.4844302080950474,1.3039083557951483,0.3828424744109694
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,rim15KO,T06,ratio,0.719654594127536,1,0.9712476855589183,-0.042088839242586745
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,rim15KO,T16,intensity,0.8037753092892634,1,1.0518712895047109,0.07295818243095152
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,rim15KO,T16,normed_intensity,0.09830607734980017,0.4445510202551591,1.579400940044851,0.6593774541549294
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,rim15KO,T16,normed_ratio,0.14560399706149088,0.5289865495081106,1.3650977573215173,0.4490042690594007
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,rim15KO,T16,ratio,0.3438916393153688,0.7720688514764645,1.09088873597868,0.12550396303865657
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,rim15KO,T30,intensity,0.5168897713354168,0.9041811139994975,0.847394874155924,-0.23889369294056848
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,rim15KO,T30,normed_intensity,0.04504010450730775,0.2832256249879732,1.2465091094674194,0.31789342605881565
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,rim15KO,T30,normed_ratio,0.01694783852370069,0.16386278367432222,1.6563963618344282,0.7280479390392212
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,rim15KO,T30,ratio,0.04769693592367335,0.2930476884254232,1.4077250221722521,0.49336555280227357
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,WT,T00,intensity,1,1,1,0
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,WT,T00,normed_intensity,1,1,1,0
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,WT,T00,normed_ratio,0.6187920971448787,0.9850840224361724,1.0321639111315937,0.045672093822488394
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,WT,T00,ratio,0.6416425348461945,1,1.0274014589591125,0.039000027494786385
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,WT,T06,intensity,0.3729085132480013,0.7720688514764645,1.244153576842392,0.3151645810260066
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,WT,T06,normed_intensity,0.8189542370325107,1,1.0359074999120124,0.050895185093824784
O13563,26S proteasome regulatory subunit RPN13,RPN13,sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1,WT,T06,normed_ratio,0.1539195984017063,0.5450902218734023,1.212967782012323,0.2785412311275596
