Protein IDs,Gene names,genotype,nutrient,samplingTime,replicate,ratio,normalized_ratio,intensity,normalized_intensity
O13547,CCW14,rim15KO,P,T16,R2,0.59708,0.78439,63397001,43759452.32
O13547,CCW14,rim15KO,P,T16,R3,NaN,NaN,1,1.342869817
O13547,CCW14,rim15KO,P,T30,R1,NaN,NaN,6957801,10238663.25
O13547,CCW14,rim15KO,P,T30,R2,0.44295,0.82418,38811001,45188483.18
O13547,CCW14,rim15KO,P,T30,R3,0.49543,1.0395,17957001,42124145.34
O13547,CCW14,WT,C,T00,R1,1.1989,1.0989,87257001,31303219.96
O13547,CCW14,WT,C,T00,R2,0.85728,0.88936,73651001,27337552.31
O13547,CCW14,WT,C,T00,R3,1.2381,1.0661,116130001,25832481.43
O13547,CCW14,WT,C,T06,R1,NaN,NaN,8335401,11294415.48
O13547,CCW14,WT,C,T06,R2,NaN,NaN,3839801,3654815.561
O13547,CCW14,WT,C,T06,R3,0.44158,0.59687,17781001,14706838.04
O13547,CCW14,WT,C,T16,R1,NaN,NaN,1,2.150905836
O13547,CCW14,WT,C,T16,R2,NaN,NaN,1,1.159966215
O13547,CCW14,WT,C,T16,R3,NaN,NaN,1,1.312736488
O13547,CCW14,WT,C,T30,R1,NaN,NaN,7457801,19068289.71
O13547,CCW14,WT,C,T30,R2,NaN,NaN,1,1.391206704
O13547,CCW14,WT,C,T30,R3,NaN,NaN,1,1.726595145
O13547,CCW14,WT,P,T00,R1,1.1989,1.0989,87257001,31303219.96
O13547,CCW14,WT,P,T00,R2,1.0876,1.106,73651001,27337552.31
O13547,CCW14,WT,P,T00,R3,1.2381,1.0661,116130001,25832481.43
O13547,CCW14,WT,P,T06,R1,0.82505,1.0154,39521001,39998025.97
O13547,CCW14,WT,P,T06,R2,0.40147,0.84199,11127001,20151843.42
O13547,CCW14,WT,P,T06,R3,0.94801,1.0302,36780001,37525399.02
O13547,CCW14,WT,P,T16,R1,0.54657,0.93154,29686001,47414301.79
O13547,CCW14,WT,P,T16,R2,0.56529,0.78442,31838001,23542629.41
O13547,CCW14,WT,P,T16,R3,NaN,NaN,1,1.16826468
O13547,CCW14,WT,P,T30,R1,NaN,NaN,10706001,21457042.31
O13547,CCW14,WT,P,T30,R2,0.47495,1.0124,45619001,63700337.58
O13547,CCW14,WT,P,T30,R3,0.4297,0.75562,18304001,35450180.21
O13563,RPN13,rim15KO,C,T00,R1,0.99437,1.0918,203660001,92802941.75
O13563,RPN13,rim15KO,C,T00,R2,1.0247,1.0561,248030001,93760742.39
O13563,RPN13,rim15KO,C,T00,R3,0.91104,1.0531,318110001,97265434.86
O13563,RPN13,rim15KO,C,T06,R1,0.85776,1.1545,73598001,81311460.16
O13563,RPN13,rim15KO,C,T06,R2,0.94801,1.132,63664001,83184954.47
O13563,RPN13,rim15KO,C,T06,R3,1.0216,1.5835,109350001,96973188.05
O13563,RPN13,rim15KO,C,T16,R1,0.59446,1.1909,58747001,94091671.9
O13563,RPN13,rim15KO,C,T16,R2,0.6776,1.1109,53229001,114115506.1
O13563,RPN13,rim15KO,C,T16,R3,0.72551,1.5153,89653001,116834760.1
O13563,RPN13,rim15KO,C,T30,R1,0.57183,1.1434,61295001,106786011.7
O13563,RPN13,rim15KO,C,T30,R2,0.7903,1.3912,51631001,129612924.5
O13563,RPN13,rim15KO,C,T30,R3,0.65369,1.6103,63766001,127459052.4
O13563,RPN13,rim15KO,P,T00,R1,0.99437,1.0918,203660001,92802941.75
O13563,RPN13,rim15KO,P,T00,R2,1.1141,1.1566,248030001,93760742.39
O13563,RPN13,rim15KO,P,T00,R3,0.91104,1.0531,318110001,97265434.86
O13563,RPN13,rim15KO,P,T06,R1,1.0569,1.0355,99260001,83623091.32
O13563,RPN13,rim15KO,P,T06,R2,0.86893,0.94464,98807001,89951170.32
O13563,RPN13,rim15KO,P,T06,R3,0.98524,0.98786,84574001,93930386.15
O13563,RPN13,rim15KO,P,T16,R1,0.60712,0.83884,68941001,91658362.45
O13563,RPN13,rim15KO,P,T16,R2,NaN,NaN,53425001,36876330.85
O13563,RPN13,rim15KO,P,T16,R3,0.61364,1.0253,69320001,93087737.05
O13563,RPN13,rim15KO,P,T30,R1,0.52727,0.79763,63546001,93510306.63
O13563,RPN13,rim15KO,P,T30,R2,0.46677,0.80398,97013001,112954323.6
O13563,RPN13,rim15KO,P,T30,R3,0.43793,0.90075,47953001,112489785.1
O13563,RPN13,WT,C,T00,R1,1.1805,1.0911,247010001,88614189.19
O13563,RPN13,WT,C,T00,R2,1.1141,1.1566,216180001,80241028.7
O13563,RPN13,WT,C,T00,R3,1.0574,0.97742,359090001,79877600.11
O13563,RPN13,WT,C,T06,R1,0.70664,1.066,58473001,79230545.45
