Protein IDs,Gene names,rim15KO_C_T00_R1,WT_C_T00_R1,rim15KO_C_T00_R3,WT_C_T00_R3,rim15KO_C_T06_R1,WT_C_T06_R1,rim15KO_C_T06_R3,WT_C_T06_R3,rim15KO_C_T16_R1,WT_C_T16_R1,rim15KO_C_T16_R3,WT_C_T16_R3,rim15KO_C_T30_R1,WT_C_T30_R1,rim15KO_C_T30_R3,WT_C_T30_R3,rim15KO_N_T06_R1,WT_N_T06_R1,rim15KO_N_T06_R3,WT_N_T06_R3,rim15KO_N_T16_R1,WT_N_T16_R1,rim15KO_N_T16_R3,WT_N_T16_R3,rim15KO_N_T30_R1,WT_N_T30_R1,rim15KO_N_T30_R3,WT_N_T30_R3,rim15KO_P_T06_R1,WT_P_T06_R1,rim15KO_P_T06_R3,WT_P_T06_R3,rim15KO_P_T16_R1,WT_P_T16_R1,rim15KO_P_T16_R3,WT_P_T16_R3,rim15KO_P_T30_R1,WT_P_T30_R1,rim15KO_P_T30_R3,WT_P_T30_R3,rim15KO_N_T00_R1,WT_N_T00_R1,rim15KO_N_T00_R3,WT_N_T00_R3,rim15KO_P_T00_R1,WT_P_T00_R1,rim15KO_P_T00_R3,WT_P_T00_R3,WT_C_T00_R2,rim15KO_C_T00_R2,WT_C_T06_R2,rim15KO_C_T06_R2,WT_C_T16_R2,rim15KO_C_T16_R2,WT_C_T30_R2,rim15KO_C_T30_R2,WT_N_T06_R2,rim15KO_N_T06_R2,WT_N_T16_R2,rim15KO_N_T16_R2,WT_N_T30_R2,rim15KO_N_T30_R2,WT_P_T06_R2,rim15KO_P_T06_R2,WT_P_T16_R2,rim15KO_P_T16_R2,WT_P_T30_R2,rim15KO_P_T30_R2,WT_N_T00_R2,rim15KO_N_T00_R2,WT_P_T00_R2,rim15KO_P_T00_R2
P00560,PGK1,0.93986,1.0169,1.0015,0.9093,0.97901,1.12,1.0516,0.96161,0.98085,1.1226,0.95542,1.0146,1.0031,1.1424,1.021,1.0454,1.1993,0.94414,1.0929,0.9075,0.88676,0.96717,1.0827,0.95966,0.78703,0.74777,0.80582,0.96382,1.4242,1.5956,1.4878,1.3801,1.289,1.4343,1.3175,1.2389,1.1808,1.4361,1.2119,1.2784,0.93986,1.0169,1.0015,0.9093,0.93986,1.0169,1.0015,0.9093,1.0743,0.98603,0.96145,1.1593,0.97362,1.2473,1.0102,1.2683,0.99658,1.0748,0.89879,1.0475,0.85755,1.1943,1.3404,1.5262,1.3106,1.258,1.3167,1.2663,1.0743,0.98603,0.98603,1.0743
P33401,PGM1,1.0226,1.0792,0.97575,1.0794,1.0137,0.9689,0.98444,1.1061,1.0077,1.0212,0.8889,1.1193,1.0567,0.97426,0.90903,1.115,0.96894,0.95583,NA,NA,NA,NA,NA,NA,0.91052,0.92409,NA,NA,0.84029,0.85357,0.85108,0.89141,0.57037,0.59569,0.67864,0.79096,0.51285,0.51331,0.54542,0.58167,1.0226,1.0792,0.97575,1.0794,1.0226,1.0792,0.97575,1.0794,0.98915,0.96205,1.0873,0.97016,1.0852,0.87241,1.0673,1.0013,NA,NA,NA,NA,NA,NA,0.91734,0.83562,0.72013,0.75299,0.63617,0.61182,0.98915,0.96205,0.96205,0.98915
P37012,PGM2,0.49712,1.1839,0.73981,1.2305,1.6164,2.2983,1.7683,2.3652,2.5887,3.0419,1.89,2.3168,2.08,2.5516,2.3237,2.8842,1.1581,1.7336,1.5113,1.7305,2.2737,1.3213,1.5963,1.5343,2.0732,1.3295,1.8229,2.2181,1.1327,2.55,1.1582,3.1441,0.95797,1.9954,0.86549,2.4811,1.2079,1.9639,0.81829,2.364,0.49712,1.1839,0.73981,1.2305,0.49712,1.1839,0.73981,1.2305,0.80924,1.0527,1.289,2.4064,1.653,3.9898,1.7269,4.4719,1.2004,2.1415,0.67487,4.4983,0.13199,1.9831,3.0044,1.1593,3.0479,0.81432,3.1824,0.77734,0.80924,1.0527,1.0527,0.80924
P40961,PHB1,0.99382,0.99793,0.85563,0.91485,1.6792,1.2322,1.3777,1.1088,2.2494,1.565,1.9198,1.2811,1.3543,1.211,2.1727,1.0309,1.0984,1.0484,0.93684,0.92887,1.0581,0.85548,1.2375,0.7661,NA,NA,0.95208,0.82011,1.0291,1.2807,0.96228,1.1812,1.0581,1.2181,1.0255,1.1287,0.99503,1.1707,1.0123,1.1269,0.99382,0.99793,0.85563,0.91485,0.99382,0.99793,0.85563,0.91485,1.0692,1.0505,1.2913,1.2596,1.1617,1.6143,1.2906,1.0444,1.1374,1.9257,1.7638,1.7231,NA,NA,0.97938,1.0741,1.1186,1.0255,1.2714,1.0218,1.0692,1.0505,1.0505,1.0692
P19881,PHO13,1.0977,1.0397,1.0298,0.93891,0.84091,0.66796,0.92927,0.71468,0.52819,0.35919,0.5688,0.30514,NA,NA,NA,NA,NA,NA,1.4868,0.97939,NA,NA,NA,NA,NA,NA,NA,NA,1.1463,1.0733,1.2097,0.99836,1.0469,0.77451,1.1269,0.82947,1.0508,0.69235,0.93,0.87743,1.0977,1.0397,1.0298,0.93891,1.0977,1.0397,1.0298,0.93891,0.96104,1.0314,0.74878,0.83233,0.42721,0.45461,0.2741,0.22489,NA,NA,NA,NA,NA,NA,1.0852,1.1107,0.79969,1.2433,0.69155,1.0342,0.96104,1.0314,1.0314,0.96104
P17157,PHO85,0.92532,0.90733,0.97627,0.98057,1.8072,1.3037,1.3036,1.0622,2.5484,1.3056,1.8899,1.1701,2.1515,1.2848,2.1742,1.2898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1145,0.98924,1.0829,0.89346,0.93747,0.9098,1.0609,0.8414,0.98445,0.90856,1.059,0.91665,0.92532,0.90733,0.97627,0.98057,0.92532,0.90733,0.97627,0.98057,0.8383,0.96316,0.86789,1.0259,1.0959,1.4015,1.0238,1.1859,1.7801,1.151,NA,NA,NA,NA,1.2363,0.98159,1.0282,0.85258,0.98292,0.84762,0.8383,0.96316,0.96316,0.8383
P38264,PHO88,0.81526,0.94193,0.88349,1.0645,0.83995,0.74758,0.72118,0.85399,0.74439,0.77031,0.64618,0.68071,0.76659,0.70263,0.6993,0.63905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79696,0.75498,0.73902,0.81598,0.54677,0.46893,0.62785,0.64036,0.60204,0.45684,0.43837,0.63519,0.81526,0.94193,0.88349,1.0645,0.81526,0.94193,0.88349,1.0645,0.92863,0.85526,0.79937,0.78069,0.8715,0.88584,0.71812,0.68339,0.8725,0.80255,NA,NA,NA,NA,0.96303,0.86542,0.64545,0.60853,0.61454,0.51975,0.92863,0.85526,0.85526,0.92863
P53252,PIL1,0.94309,0.99984,0.94582,0.97218,1.9492,1.9662,1.9849,1.7158,2.7973,2.5634,2.515,2.104,2.9212,2.2111,2.3632,1.7968,1.6902,1.2982,1.9658,1.2385,3.1921,1.542,3.8097,1.282,4.0448,1.5949,3.5882,1.6347,1.3348,1.8032,1.2898,1.6409,1.3242,1.7677,1.1165,1.4907,1.1517,1.8539,1.1795,1.445,0.94309,0.99984,0.94582,0.97218,0.94309,0.99984,0.94582,0.97218,0.89945,1.0696,1.4858,2.2993,1.4599,3.4113,1.5012,2.656,1.2252,2.3419,NA,NA,NA,NA,1.9687,1.3485,1.7843,1.1266,1.6936,0.93078,0.89945,1.0696,1.0696,0.89945
P36775,PIM1,0.93868,1.1665,1.1008,1.1304,1.2259,1.3715,1.1295,1.2012,NA,NA,1.3243,1.1627,1.1793,1.1844,1.3595,1.1818,1.6752,1.4156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88827,1.0046,0.81603,0.97362,1.0335,0.93286,0.95431,0.9176,1.0256,0.83442,0.96916,0.95461,0.93868,1.1665,1.1008,1.1304,0.93868,1.1665,1.1008,1.1304,1.1268,1.0272,1.1496,1.0619,1.0105,1.3649,0.91062,0.97881,0.81363,1.0965,NA,NA,NA,NA,1.0427,0.89582,1.0011,0.86722,1.0402,0.98038,1.1268,1.0272,1.0272,1.1268
Q06449,PIN3,1.0627,1.0857,1.2447,1.0924,1.1419,0.99115,1.1334,0.96357,1.6709,0.79027,1.5618,0.69442,NA,NA,1.3277,0.78647,0.7164,0.86914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0789,0.95741,1.2003,1.0903,0.84593,0.69043,0.98101,0.69576,0.92497,0.79363,0.90715,0.7621,1.0627,1.0857,1.2447,1.0924,1.0627,1.0857,1.2447,1.0924,1.3355,0.9858,1.1017,1.1166,0.99557,1.3054,0.97135,0.96089,0.6165,1.1056,NA,NA,NA,NA,1.203,1.183,0.7984,0.85655,0.78727,0.82316,1.3355,0.9858,0.9858,1.3355
