Protein IDs,Gene names,rim15KO_C_T00_R1,WT_C_T00_R1,rim15KO_C_T00_R3,WT_C_T00_R3,rim15KO_C_T06_R1,WT_C_T06_R1,rim15KO_C_T06_R3,WT_C_T06_R3,rim15KO_C_T16_R1,WT_C_T16_R1,rim15KO_C_T16_R3,WT_C_T16_R3,rim15KO_C_T30_R1,WT_C_T30_R1,rim15KO_C_T30_R3,WT_C_T30_R3,rim15KO_N_T06_R1,WT_N_T06_R1,rim15KO_N_T06_R3,WT_N_T06_R3,rim15KO_N_T16_R1,WT_N_T16_R1,rim15KO_N_T16_R3,WT_N_T16_R3,rim15KO_N_T30_R1,WT_N_T30_R1,rim15KO_N_T30_R3,WT_N_T30_R3,rim15KO_P_T06_R1,WT_P_T06_R1,rim15KO_P_T06_R3,WT_P_T06_R3,rim15KO_P_T16_R1,WT_P_T16_R1,rim15KO_P_T16_R3,WT_P_T16_R3,rim15KO_P_T30_R1,WT_P_T30_R1,rim15KO_P_T30_R3,WT_P_T30_R3,rim15KO_N_T00_R1,WT_N_T00_R1,rim15KO_N_T00_R3,WT_N_T00_R3,rim15KO_P_T00_R1,WT_P_T00_R1,rim15KO_P_T00_R3,WT_P_T00_R3,WT_C_T00_R2,rim15KO_C_T00_R2,WT_C_T06_R2,rim15KO_C_T06_R2,WT_C_T16_R2,rim15KO_C_T16_R2,WT_C_T30_R2,rim15KO_C_T30_R2,WT_N_T06_R2,rim15KO_N_T06_R2,WT_N_T16_R2,rim15KO_N_T16_R2,WT_N_T30_R2,rim15KO_N_T30_R2,WT_P_T06_R2,rim15KO_P_T06_R2,WT_P_T16_R2,rim15KO_P_T16_R2,WT_P_T30_R2,rim15KO_P_T30_R2,WT_N_T00_R2,rim15KO_N_T00_R2,WT_P_T00_R2,rim15KO_P_T00_R2
P04710,AAC1,1.1793,0.75513,0.83452,1.0649,NA,NA,6.105,3.1636,11.093,5.2161,14.191,4.1206,NA,NA,11.786,3.8383,3.2822,1.6517,3.7556,1.7067,NA,NA,6.1262,1.5805,NA,NA,NA,NA,2.352,2.3395,1.7528,2.3301,1.378,1.2736,1.4553,1.7131,1.6317,0.9429,1.3722,1.6649,1.1793,0.75513,0.83452,1.0649,1.1793,0.75513,0.83452,1.0649,0.61713,0.99092,2.7986,4.238,NA,NA,NA,NA,1.3205,3.2103,NA,NA,NA,NA,2.0294,1.7891,1.7057,1.3832,1.8723,1.3191,0.61713,0.99092,0.99092,0.61713
P53909,AAH1,1.0932,0.96164,1.0258,0.96823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37983,0.38849,0.4873,0.37291,NA,NA,NA,NA,NA,NA,NA,NA,1.0932,0.96164,1.0258,0.96823,1.0932,0.96164,1.0258,0.96823,0.8062,1.0883,0.30778,0.22834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8062,1.0883,1.0883,0.8062
P37898,AAP1,0.92101,0.92035,0.86217,0.95899,0.95878,0.86927,0.82045,0.98379,0.89025,0.92017,0.79537,0.89101,0.95515,0.97491,1.1006,0.8995,0.85469,0.9646,0.86357,0.91338,NA,NA,0.70333,1.074,NA,NA,0.54976,0.93797,0.59777,0.50867,0.64816,0.64396,0.41699,0.35988,0.5577,0.68846,0.52623,0.38937,0.50047,0.67957,0.92101,0.92035,0.86217,0.95899,0.92101,0.92035,0.86217,0.95899,0.86206,0.84018,0.93888,0.94457,0.9345,1.0211,0.87685,0.75489,1.0279,0.91842,0.69829,0.62485,NA,NA,0.60576,0.56901,0.59295,0.53394,0.59909,0.59048,0.86206,0.84018,0.84018,0.86206
P23542,AAT2,0.94125,1.0128,0.83647,0.84587,1.0568,1.0847,1.0785,0.87194,2.342,1.0921,1.1172,0.92588,2.7619,1.2274,1.387,0.86413,1.1908,0.94185,1.0752,0.84864,0.58028,0.85439,1.1952,0.7138,NA,NA,1.3353,0.38026,1.1998,1.2014,1.0451,0.90715,0.92769,0.76064,0.91394,0.67146,0.79625,0.50882,0.68653,0.51342,0.94125,1.0128,0.83647,0.84587,0.94125,1.0128,0.83647,0.84587,1.046,0.97855,1.0242,1.0686,1.1938,2.2091,1.3004,1.5935,1.0248,0.82086,0.79687,0.4923,0.9421,0.86454,1.0039,1.3669,0.7328,1.2646,0.54227,0.94837,1.046,0.97855,0.97855,1.046
P14164,ABF1,1.021,1.0152,0.94993,0.97853,1.1842,1.0297,NA,NA,1.0261,0.99462,1.0911,1.0333,1.6541,1.0206,0.89466,0.87821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1815,1.2881,1.0996,1.0515,1.287,1.1891,1.0006,0.93199,1.3599,1.0256,0.99889,0.77171,1.021,1.0152,0.94993,0.97853,1.021,1.0152,0.94993,0.97853,0.95565,1.0412,0.99568,1.1779,1.0927,1.633,0.90962,1.4764,NA,NA,NA,NA,NA,NA,1.2587,1.0342,1.0188,1.1553,0.86609,1.1154,0.95565,1.0412,1.0412,0.95565
Q02486,ABF2,0.95017,1.0473,1.0014,1.0783,1.7777,1.468,1.8284,1.6127,2.2908,1.5391,2.7619,1.851,1.5596,1.1841,2.0911,1.7108,0.99456,0.99841,NA,NA,NA,NA,1.8177,1.0332,NA,NA,NA,NA,1.2248000000000001,1.4432,1.2379,1.281,1.1329,1.3103,1.0429,1.1631,1.0041,1.3678,1.0739,1.1427,0.95017,1.0473,1.0014,1.0783,0.95017,1.0473,1.0014,1.0783,0.99052,0.91271,1.0398,1.4078,1.3343,2.4593,1.239,1.9938,0.93739,3.2758,NA,NA,NA,NA,1.3847,1.2658,1.1706,0.97508,1.2434,0.8916,0.99052,0.91271,0.91271,0.99052
P15891,ABP1,1.0119,1.0837,1.0231,1.1088,0.97847,1.1183,0.99427,1.1233,1.0902,1.0235,0.96774,1.0911,0.96561,1.0734,0.92081,1.1321,0.99008,1.0961,1.031,1.0616,0.85151,1.0224,0.94874,1.2331,0.81681,0.54309,0.93323,1.2461,1.1014,1.2791,1.1901,1.2491,1.0669,1.1008,1.0999,1.1486,1.005,1.1053,1.0252,1.0389,1.0119,1.0837,1.0231,1.1088,1.0119,1.0837,1.0231,1.1088,1.078,1.0345,1.091,1.0761,1.0659,1.0401,1.0904,1.0872,1.0334,0.9879,0.93964,0.86774,1.0868,0.68501,1.2797,1.1214,1.1271,1.0865,0.99969,1.0759,1.078,1.0345,1.0345,1.078
Q08641,ABP140,1.0364,1.0793,1.1287,1.1169,0.97486,1.165,1.0376,1.0262,1.0026,1.2019,0.85832,0.97871,1.0121,1.0277,0.94967,0.91808,1.1142,0.93263,NA,NA,NA,NA,NA,NA,NA,NA,0.9327,5.9958,0.89104,0.91243,0.87102,0.95669,0.75176,0.69981,0.7119,0.79444,NA,NA,0.51386,0.73961,1.0364,1.0793,1.1287,1.1169,1.0364,1.0793,1.1287,1.1169,1.0541,1.0137,1.114,0.96316,1.0237,1.0394,1.1991,0.7899,1.2483,0.97591,NA,NA,NA,NA,0.87961,0.90595,1.008,0.7754,0.54752,0.69613,1.0541,1.0137,1.0137,1.0541
P31787,ACB1,1.0502,0.97899,0.96539,0.75912,0.93625,0.7821,0.90337,0.77757,1.0295,0.74757,1.0469,0.80484,0.74325,0.7385,0.96248,0.81266,0.94542,0.9553,0.80805,0.88205,1.1766,0.88237,1.0796,0.69575,0.65466,0.77630999999999994,1.0649,0.79599,0.59553,0.6406,0.58805,0.57748,0.50432,0.56668,0.52435,0.50979,0.46235,0.51737,0.51881,0.49263,1.0502,0.97899,0.96539,0.75912,1.0502,0.97899,0.96539,0.75912,1.304,0.97769,0.91323,0.88023,0.82402,0.83676,0.91931,1.0256,1.0465,1.1976,0.93635,0.74406,0.77888,0.70079,0.6724,0.64694,0.52665,0.59238,0.45878,0.51086,1.304,0.97769,0.97769,1.304
Q00955,ACC1,0.9276,0.98155,1.0613,1.2387,1.2516,1.0228,1.1463,1.3218,1.3312,1.0634,1.316,1.3532,1.8857,1.1105,1.502,1.3197,0.83733,1.3895,0.97019,1.1996,0.57762,1.0284,0.45433,1.1219,0.65786,1.101,0.47833,1.0335,0.63668,0.83379,0.72831,0.82565,0.41434,0.49068,0.56737,0.75388,0.47098,0.50956,0.47237,0.69367,0.9276,0.98155,1.0613,1.2387,0.9276,0.98155,1.0613,1.2387,1.0634,1.0005,1.07,1.113,1.0534,1.1794,1.021,1.3614,1.3461,0.85218,1.1722,0.67066,1.1345,0.53108,0.78115,0.81277,0.67285,0.62133,0.58591,0.54442,1.0634,1.0005,1.0005,1.0634
P32316,ACH1,1.1191,1.0676,0.94207,1.1887,9.1788,2.9747,10.29,5.7842,32.613,5.3827,24.059,8.2722,21.401,17.131,10.588,4.6605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8094,2.7238,1.9131,2.3059,1.672,2.1947,1.7498,2.1619,1.4933,1.9623,1.651,1.9503,1.1191,1.0676,0.94207,1.1887,1.1191,1.0676,0.94207,1.1887,0.88585,1.0992,3.2579,6.5609,5.9912,27.059,2.4761,22.276,NA,NA,NA,NA,NA,NA,2.3403,2.0552,1.8735,1.5903,2.1793,1.5701,0.88585,1.0992,1.0992,0.88585
P19414,ACO1,0.80319,1.0454,0.5617,0.49886,1.1972,1.4632,1.4238,0.94922,3.2519,1.4776,3.5685,0.85395,2.4392,1.5216,3.3362,1.0818,1.0886,0.81489,0.78484,0.46708,1.4119,0.80792,2.1248,0.50298,1.7387,0.96905,3.163,0.47746,1.2043,1.279,1.0783,1.0019,1.1828,1.2743,1.0387,0.93743,1.0744,1.1178,0.90262,0.88952,0.80319,1.0454,0.5617,0.49886,0.80319,1.0454,0.5617,0.49886,1.1339,0.89315,1.1395,1.4812,1.4413,2.4079,1.3584,3.6133,0.9164,0.91469,0.84047,1.5576,0.93874,1.4457,1.0351,1.5469,1.1467,1.577,1.069,1.4505,1.1339,0.89315,0.89315,1.1339
P39533,ACO2,1.3423,0.89028,1.0788,0.90579,1.6063,1.252,1.2342,1.0174,1.835,1.3373,2.0367,1.0873,1.4769,1.1951,1.1563,1.1156,NA,NA,3.9605,1.3863,NA,NA,NA,NA,NA,NA,NA,NA,1.0622,1.148,1.1442,0.99969,1.1882,1.0014,1.3672,0.85887,1.074,0.95675,1.2614,0.7784,1.3423,0.89028,1.0788,0.90579,1.3423,0.89028,1.0788,0.90579,0.91683,1.0419,1.4382,1.1074,1.4225,1.6253,1.1794,1.3132,1.6927,3.8684,NA,NA,NA,NA,0.93354,1.2741,0.70758,1.173,0.77662,1.225,0.91683,1.0419,1.0419,0.91683
P52910,ACS2,0.97288,1.0144,1.0284,1.0805,1.1773,0.70869,1.0824,0.76625,0.95171,0.44647,0.96577,0.34527,0.57543,0.3466,0.58193,0.24573,1.3038,1.0152,1.3995,1.0099,1.2958,0.46076,0.93419,0.25547,NA,NA,NA,NA,0.9227,0.86673,0.87667,0.79542,0.5753,0.393,0.63135,0.43021,0.40147,0.20473,0.37604,0.27401,0.97288,1.0144,1.0284,1.0805,0.97288,1.0144,1.0284,1.0805,0.97529,0.98077,0.82374,0.85963,0.58346,0.92363,0.36808,0.55548,1.0694,1.0026,0.64364,1.0495,0.30191,0.23384,0.84419,0.95879,0.41307,0.75122,0.21305,0.43413,0.97529,0.98077,0.98077,0.97529
P60010,ACT1,1.0163,1.0233,1.0194,1.0623,1.0478,1.0479,0.99068,1.144,1.0519,1.1439,1.0079,1.1529,1.1298,1.1981,1.0616,1.1652,0.8131,1.0903,0.95424,1.1308,0.7979,1.0566,0.59758,1.2477,1.0652,1.4175,0.9077,1.3419,1.0118,1.0652,0.98245,0.96273,0.91187,0.79078,0.92699,1.0324,1.0602,0.8714,0.97349,1.1439,1.0163,1.0233,1.0194,1.0623,1.0163,1.0233,1.0194,1.0623,0.97773,1.0157,1.0579,1.0634,1.1332,0.95823,1.1604,1.0895,1.101,0.89559,1.0065,0.85206,1.3407,1.622,1.0358,1.0027,1.0923,0.96442,1.0465,0.93882,0.97773,1.0157,1.0157,0.97773
P27616,ADE1,1.0237,1.0635,1.0318,1.0216,2.2938,2.0915,1.8134,1.5197,2.5046,1.9054,1.6518,1.4656,3.3111,2.3321,2.4424,1.4277,7.7958,1.5511,2.6459,1.3624,2.3641,3.6743,2.5216,2.8276,NA,NA,4.8303,6.2607,2.9515,3.0818,2.612,2.6727,2.3726,2.1006,2.3152,1.7651,2.009,1.6282,1.9536,1.5491,1.0237,1.0635,1.0318,1.0216,1.0237,1.0635,1.0318,1.0216,0.96008,1.0867,1.623,1.7993,1.8879,2.4528,1.5329,1.7326,1.8845,2.6434,1.5691,0.65137,1.2541,4.9174,3.1054,3.5755,1.6605,2.5188,1.355,2.1644,0.96008,1.0867,1.0867,0.96008
P80210,ADE12,0.94116,0.9372,1.0496,1.0009,2.5888,1.3816,3.1998,1.7192,4.0259,1.3636,4.4486,1.5932,2.6195,1.2196,1.1803,1.2919,2.3608,1.0641,1.4887,1.1287,2.8231,0.93954,5.4624,1.0667,NA,NA,4.1047,1.1088,2.9663,2.9804,3.0516,2.7891,2.3091,1.81,2.1998,1.7138,2.1286,1.4838,1.8597,1.5936,0.94116,0.9372,1.0496,1.0009,0.94116,0.9372,1.0496,1.0009,0.96857,0.89639,1.1862,1.8817,1.6165,3.2992,1.6881,2.5223,1.1377,1.1489,2.7718,4.3139,NA,NA,2.5166,3.6699,1.4648,2.5237,1.3618,2.1335,0.96857,0.89639,0.89639,0.96857
Q05911,ADE13,1.0174,0.99044,0.95878,0.91311,2.6657,1.664,3.1212,1.2324,3.7007,2.1386,2.0738,1.5953,2.3353,1.3995,3.8274,1.7069,3.5238,1.048,3.3998,1.0476,NA,NA,0.40063,1.2508,4.3457,2.5555,0.67998,1.3258,2.0897,2.0616,2.1216,1.962,1.6194,1.3316,1.7642,1.5375,1.8384,1.1964,1.4147,1.4405,1.0174,0.99044,0.95878,0.91311,1.0174,0.99044,0.95878,0.91311,0.95282,0.98237,1.4915,2.4041,1.4093,2.9183,1.4705,2.8672,1.0612,2.9144,NA,NA,NA,NA,2.3138,2.455,1.5801,1.8722,1.253,1.611,0.95282,0.98237,0.98237,0.95282
P54113,ADE16,0.9649,1.0365,1.006,0.99851,1.1112,1.1403,1.1436,1.2009,1.3643,1.2864,1.1159,1.1541,1.2875,1.1193,1.1468,1.2534,0.97678,1.043,1.084,1.0947,NA,NA,1.9134,1.1012,NA,NA,2.1959,1.5395,0.92482,1.107,0.88062,1.0815,0.89244,1.0714,0.89003,1.0262,0.83188,1.0189,0.88056,0.97488,0.9649,1.0365,1.006,0.99851,0.9649,1.0365,1.006,0.99851,1.008,0.96638,1.0276,1.1222,1.1379,0.85501,1.0971,0.92213,1.1805,1.3263,NA,NA,NA,NA,0.96139,0.8984,1.0305,0.94061,1.0183,0.90974,1.008,0.96638,0.96638,1.008
P38009,ADE17,1.0455,1.0195,0.93132,0.8076,4.2909,2.5301,4.7994,2.0395,4.9106,2.5128,7.9559,2.673,5.1788,2.6693,6.7004,2.6491,9.7853,1.3091,11.629,1.0163,13.28,1.5148,8.4317,1.2333,6.3534,1.8292,12.358,1.5773,5.995,6.4057,5.6984,4.8641,3.6108,2.9434,3.2895,2.3993,2.9269,2.1732,2.7073,1.7598,1.0455,1.0195,0.93132,0.8076,1.0455,1.0195,0.93132,0.8076,0.97227,1.1103,1.7787,3.8844,2.1796,5.0862,2.2792,6.8848,1.4357,8.9196,NA,NA,NA,NA,6.4944,7.6333,1.9318,3.1322,1.5984,2.9537,0.97227,1.1103,1.1103,0.97227
P21264,ADE2,0.95124,1.017,0.99648,1.0625,1.6588,1.726,1.4341,1.3924,1.6973,1.5594,2.2443,1.7417,3.6763,1.9673,1.6136,1.2173,NA,NA,2.4287,1.1566,1.9059,1.0199,NA,NA,NA,NA,NA,NA,2.5331,2.8462,2.5062,2.3564,2.2188,1.9383,1.9741,1.6294,1.8608,1.5145,1.7286,1.4899,0.95124,1.017,0.99648,1.0625,0.95124,1.017,0.99648,1.0625,0.9611,1.0869,1.305,1.5851,1.6889,2.4727,1.6105,1.6703,1.2558,1.2401,NA,NA,NA,NA,2.6587,2.9423,1.6433,2.2069,1.4161,1.8746,0.9611,1.0869,1.0869,0.9611
P07245,ADE3,0.99577,1.0271,1.0922,1.0193,1.0724,1.0608,1.0531,1.0045,1.1105,1.0308,1.0101,1.0071,1.0808,1.0348,1.5649,1.0787,0.90898,1.1392,1.0163,1.0769,1.7244,1.1062,0.62653,1.0178,2.0789,0.88205,0.76887,1.042,1.4093,1.3692,1.408,1.2235,1.2447,1.1055,1.3633,1.0751,1.1628,0.97666,1.2,0.94823,0.99577,1.0271,1.0922,1.0193,0.99577,1.0271,1.0922,1.0193,1.1154,0.96566,1.1208,1.1638,1.0612,0.98576,1.0819,0.90846,1.167,1.0935,1.2694,0.5744,1.1214,0.4629,1.1918,1.5592,1.0252,1.497,0.88618,1.4026,1.1154,0.96566,0.96566,1.1154
P04046,ADE4,1.0593,1.0904,1.0499,0.97582,1.802,1.2395,1.3119,1.1173,2.2074,1.389,2.4855,1.1528,2.3927,1.3272,2.1335,1.1321,4.2365,0.97344,1.8518,1.0247,NA,NA,0.81882,0.96264,NA,NA,NA,NA,2.0888,2.0179,1.9188,1.7853,1.7572,1.3898,1.8357,1.3341,1.689,1.4117,1.5813,1.2013,1.0593,1.0904,1.0499,0.97582,1.0593,1.0904,1.0499,0.97582,1.0537,0.97841,1.0848,1.4458,1.2758,2.4655,1.1939,2.1169,1.0552,2.0254,NA,NA,NA,NA,2.1028,2.5339,1.1325,2.0872,1.2288,1.9009,1.0537,0.97841,0.97841,1.0537
P07244,"ADE5,7",1.0825,1.0794,1.0837,1.1113,1.1022,1.0807,1.139,1.1239,1.0527,0.93089,1.0092,0.9649,1.0442,0.9508,1.066,1.0508,0.95683,0.97158,0.95464,0.87205,NA,NA,0.54409,0.89739,NA,NA,0.72989,0.88613,1.7218,1.9329,1.8451,1.6743,1.6212,1.4897,1.6984,1.282,1.7233,1.331,1.5619,1.241,1.0825,1.0794,1.0837,1.1113,1.0825,1.0794,1.0837,1.1113,1.0309,1.0447,0.9939,1.1408,1.1269,0.99857,0.98675,0.97503,1.1664,0.74377,NA,NA,NA,NA,1.5875,2.1148,1.1438,1.8529,1.1753,1.7657,1.0309,1.0447,1.0447,1.0309
P38972,ADE6,1.0173,0.91763,1.1021,0.98746,1.1098,1.0844,1.2181,1.0185,1.1373,1.0646,1.3264,1.0287,1.2612,1.0898,1.0772,1.0339,1.5934,0.98307,1.4473,1.0005,0.63795,0.83052,1.0843,1.1932,0.55944,0.78567,0.82627,1.1382,1.4125,1.4855,1.4902,1.3903,1.2261,1.0761,1.3604,1.1743,1.2416,0.9244,1.1755,1.1167,1.0173,0.91763,1.1021,0.98746,1.0173,0.91763,1.1021,0.98746,0.90807,0.98719,1.0615,1.1507,1.041,0.96565,1.076,1.1065,0.97163,1.041,0.86239,1.5129,0.87344,0.86828,1.3647,1.6166,1.0652,1.4093,1.0045,1.2579,0.90807,0.98719,0.98719,0.90807
P00330,ADH1,0.98572,0.98623,1.0491,0.89998,1.158,1.0725,1.2636,1.0235,1.1059,1.1182,1.1304,1.0364,1.1366,1.0852,1.5135,1.0743,1.5973,0.92601,1.872,0.87965,1.5317,0.83441,1.963,0.95547,1.6038,0.78298,1.6514,0.90172,1.29,1.3178,1.2466,1.1619,1.1679,1.1473,1.1224,1.0849,1.2512,1.1769,1.1353,1.159,0.98572,0.98623,1.0491,0.89998,0.98572,0.98623,1.0491,0.89998,1.0202,0.96417,1.0133,1.1561,1.0816,1.223,1.0806,1.3226,0.97081,1.5411,0.88644,2.1354,0.92745,1.8477,1.2354,1.2392,1.1621,1.1763,1.2148,1.1797,1.0202,0.96417,0.96417,1.0202
P07246,ADH3,0.95701,1.0102,1.0537,0.90963,1.6658,1.3023,1.4197,1.1789,2.0228,1.2573,2.2612,1.1459,2.2066,1.1963,2.5202,1.2255,1.2009,0.96496,1.2179,0.95949,2.6083,1.048,2.8689,0.81677,1.4554,0.42545,3.1629,0.73532,1.4665,1.413,1.3719,1.1849,1.4099,1.3232,1.4181,1.0728,1.5211,1.1903,1.4467,1.0036,0.95701,1.0102,1.0537,0.90963,0.95701,1.0102,1.0537,0.90963,1.0264,0.97437,1.1039,1.3981,1.1998,2.183,1.1555,2.1193,1.0129,1.4669,1.1609,1.2103,1.14,2.3224,1.314,1.5713,1.1012,1.4702,1.0104,1.5392,1.0264,0.97437,0.97437,1.0264
Q04894,ADH6,1.0442,1.0545,0.97111,0.8656,0.95359,1.0092,0.82455,0.8203,0.95642,0.93428,0.88341,0.88874,0.81681,0.95268,0.7323,0.83758,1.3638,1.0622,0.95304,0.92194,0.94964,1.2996,0.86894,1.0658,NA,NA,1.2445,1.0447,0.96938,0.93708,0.81568,0.74564,0.7574,0.77647,0.77505,0.72276,0.68773,0.64291,0.65576,0.60291,1.0442,1.0545,0.97111,0.8656,1.0442,1.0545,0.97111,0.8656,1.184,1.0318,0.94358,0.92726,1.033,0.73076,0.96581,0.78226,1.1802,1.2493,NA,NA,NA,NA,0.83788,0.96469,0.75755,0.96426,0.62802,0.80622,1.184,1.0318,1.0318,1.184
P07170,ADK1,1.0418,0.98221,1.054,0.91273,0.96767,1.0571,1.0118,0.92439,0.8741,0.96231,0.95344,0.92492,0.99592,0.90498,1.0407,0.99877,0.55573,0.92214,0.97204,0.9558,0.41052,0.78147,0.61184,0.84158,0.49098,0.80318,0.98511,0.75579,1.0575,1.0765,1.0553,0.95916,0.91466,0.93221,0.98601,0.85233,0.81256,0.86837,0.86359,0.87583,1.0418,0.98221,1.054,0.91273,1.0418,0.98221,1.054,0.91273,1.1107,1.0228,1.0321,0.9803,1.0336,0.95879,0.96466,1.4187,1.0112,0.93802,0.985,0.50184,0.91602,0.40975,1.0144,1.0967,0.87701,1.0648,0.9128,0.96529,1.1107,1.0228,1.0228,1.1107
P47143,ADO1,1.0423,0.90627,0.96738,0.79069,0.7991,0.77635,0.7942,0.81918,0.70019,0.70783,0.75886,0.78038,0.80084,0.76524,0.6283,0.7338,1.1393,0.79933,0.91945,0.75823,0.71616,0.61727,0.80891,0.81467,0.27989000000000003,0.17601,0.60719,0.85891,0.64639,0.6872,0.69631,0.68287,0.5537,0.56294,0.6291,0.59808,0.53943,0.58176,0.56841,0.59222,1.0423,0.90627,0.96738,0.79069,1.0423,0.90627,0.96738,0.79069,1.0511,0.93576,0.76809,0.69266,0.74869,0.81205,0.8131,0.70167,0.76325,0.86298,1.534,0.58542,0.46411,0.39915,0.67183,0.66308,0.57789,0.63266,0.50596,0.54593,1.0511,0.93576,0.93576,1.0511
Q12449,AHA1,0.89316,1.0334,0.8999,0.95845,1.3262,1.3027,1.3612,1.2644,2.1707,1.4862,1.397,1.3152,2.2478,1.5197,1.5284,1.331,1.2753,0.94154,1.1443,0.84182,NA,NA,1.9253,1.1095,NA,NA,2.3391,0.6621,1.0134,1.2524,0.98959,1.3294,0.89869,1.1027,0.8452,1.2771,0.96689,1.1791,0.71368,1.3582,0.89316,1.0334,0.8999,0.95845,0.89316,1.0334,0.8999,0.95845,0.99955,1.0204,1.1228,1.4005,1.1983,2.4604,1.1796,2.5458,0.92036,1.1834,0.80998,1.572,0.75516,3.9003,1.2358,1.0336,1.4399,0.92636,1.5111,0.85289,0.99955,1.0204,1.0204,0.99955
P38013,AHP1,0.86259,0.89099,1.0798,0.88991,0.73263,0.90199,0.90717,0.93314,0.66312,0.85586,0.82695,0.91076,0.74832,0.89807,0.84593,0.99606,0.85649,0.9864,0.9858,0.93773,0.56259,0.9699,0.8716,0.93057,0.34261,0.47744,0.70287,0.95346,0.90929,1.1923,0.89601,1.0227,0.89755,1.1405,0.959,1.0837,0.93395,1.1167,0.89391,1.1202,0.86259,0.89099,1.0798,0.88991,0.86259,0.89099,1.0798,0.88991,0.9526,0.94194,0.76743,0.93843,0.72031,0.80191,0.75382,0.85003,0.91149,0.95177,NA,NA,0.061253,0.28987,1.1256,0.95568,1.3139,0.93421,1.2491,0.85506,0.9526,0.94194,0.94194,0.9526
P23180,AIM17,0.7501,1.1336,1.4189,1.3987,5.4551,6.3245,4.7731,5.1952,7.5851,6.7326,6.6615,6.9369,5.72,6.1697,5.4148,6.152,2.9016,1.9192,2.7951,2.3264,NA,NA,5.8136,2.1033,NA,NA,NA,NA,3.3015,3.7042,3.8827,3.6135,2.5977,2.4981,2.585,2.3529,2.3714,2.0494,2.4521,1.8842,0.7501,1.1336,1.4189,1.3987,0.7501,1.1336,1.4189,1.3987,1.1115,1.0044,6.3159,6.4216,5.8686,6.92,5.4099,6.101,2.0643,3.3539,NA,NA,NA,NA,4.1074,3.2629,2.3778,2.4477,2.1302,2.2158,1.1115,1.0044,1.0044,1.1115
P36154,AIM29,1.0419,0.96932,0.97165,0.80291,1.1763,1.0054,1.3113,1.0314,1.2408,0.92712,1.2868,1.0091,1.4882,1.074,1.2465,1.0523,1.2438,0.9686,1.6344,0.92739,NA,NA,1.9532,0.82877,NA,NA,NA,NA,0.81615,0.82818,0.74882,0.85277,0.84212,0.86743,0.88056,0.87072,0.83541,0.84901,0.84906,0.80819,1.0419,0.96932,0.97165,0.80291,1.0419,0.96932,0.97165,0.80291,1.2237,0.90414,NA,NA,0.9433,1.2302,0.918,1.0183,NA,NA,NA,NA,NA,NA,0.82898,0.83466,0.80449,0.92172,0.72105,0.87393,1.2237,0.90414,0.90414,1.2237
Q12032,AIM41,0.87807,1.1943,0.85731,1.1529,4.4919,3.7275,4.2855,3.5563,4.8167,3.9077,4.9521,4.1541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9451,3.0313,1.6469,2.4878,1.3764,1.9421,0.99707,1.4931,1.2527,1.7776,1.2397,1.4536,0.87807,1.1943,0.85731,1.1529,0.87807,1.1943,0.85731,1.1529,0.9824,1.1116,2.3642,3.986,3.6687,7.4061,NA,NA,NA,NA,NA,NA,NA,NA,2.4229,1.9305,1.7366,0.88679,2.1229,1.2957,0.9824,1.1116,1.1116,0.9824
Q12480,AIM45,1.0539,1.1377,1.0201,1.0754,2.0521,1.4559,2.2345,1.4975,2.6184,1.4424,3.3245,1.556,2.989,1.2661,2.7216,1.5203,NA,NA,1.7186,1.036,NA,NA,NA,NA,NA,NA,NA,NA,1.6051,1.7683,1.6506,1.5816,1.4675,1.3283,1.4974,1.2041,1.2977,1.0842,1.3719,1.0254,1.0539,1.1377,1.0201,1.0754,1.0539,1.1377,1.0201,1.0754,1.0665,1.0106,1.3452,1.8355,1.2889,1.468,1.4449,2.2023,NA,NA,NA,NA,NA,NA,1.5558,1.6755,1.2263,1.4378,0.99176,1.3342,1.0665,1.0106,1.0106,1.0665
P40053,AIM9,0.97013,0.96161,0.97514,0.98959,1.0313,1.2995,1.1255,1.2225,1.3134,1.2312,1.8265,1.516,1.2299,1.3731,1.7773,1.4026,0.94878,1.3,1.1533,1.5592,1.9973,4.7344,NA,NA,NA,NA,NA,NA,1.0512,1.1696,0.91597,1.1432,0.98332,1.1281,1.0712,1.0863,0.94809,1.0917,0.91183,1.0355,0.97013,0.96161,0.97514,0.98959,0.97013,0.96161,0.97514,0.98959,0.97798,1.0599,1.1849,1.2086,1.1653,1.6351,1.1119,1.6481,1.1117,0.72727,NA,NA,NA,NA,1.4286,1.0401,1.0903,0.98956,1.1451,0.93776,0.97798,1.0599,1.0599,0.97798
