Protein IDs,Protein names,Gene names,Fasta headers,nutrient,time,pvalue,qvalue,log2FC
O14455,60S ribosomal protein L36-B,RPL36B,sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3,C,T16,0.028541471,0.153145737,-0.067291667
O14455,60S ribosomal protein L36-B,RPL36B,sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3,C,T30,0.833218288,0.897108226,0.006536667
O14455,60S ribosomal protein L36-B,RPL36B,sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3,P,T00,0.342358958,0.524729972,0.009150177
O14455,60S ribosomal protein L36-B,RPL36B,sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3,P,T06,0.085104294,0.264763803,0.367781771
O14455,60S ribosomal protein L36-B,RPL36B,sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3,P,T16,0.128522921,0.314279741,0.534794685
O14455,60S ribosomal protein L36-B,RPL36B,sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3,P,T30,0.134528676,0.319160673,0.672974977
O14467,Multiprotein-bridging factor 1,MBF1,sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2,C,T00,0.1737786,0.358661475,0.04375
O14467,Multiprotein-bridging factor 1,MBF1,sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2,C,T06,0.586683965,0.725027281,0.038263333
O14467,Multiprotein-bridging factor 1,MBF1,sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2,C,T16,0.151953148,0.334849483,0.205305
O14467,Multiprotein-bridging factor 1,MBF1,sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2,C,T30,0.388410629,0.565094766,0.161771667
O14467,Multiprotein-bridging factor 1,MBF1,sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2,P,T00,0.806271881,0.881364705,-0.009721095
O14467,Multiprotein-bridging factor 1,MBF1,sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2,P,T06,3.31E-04,0.035192746,0.162627145
O14467,Multiprotein-bridging factor 1,MBF1,sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2,P,T16,0.038310521,0.178803137,0.392084192
O14467,Multiprotein-bridging factor 1,MBF1,sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2,P,T30,0.057911538,0.218262995,0.627165994
O43137,Uncharacterized protein YBR085C-A,YBR085C-A,sp|O43137|YB085_YEAST Uncharacterized protein YBR085C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YBR085C-A PE=1 SV=1,C,T00,0.947648007,0.97068257,0.010908333
O43137,Uncharacterized protein YBR085C-A,YBR085C-A,sp|O43137|YB085_YEAST Uncharacterized protein YBR085C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YBR085C-A PE=1 SV=1,P,T00,0.109423778,0.296292303,-0.244264152
O43137,Uncharacterized protein YBR085C-A,YBR085C-A,sp|O43137|YB085_YEAST Uncharacterized protein YBR085C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YBR085C-A PE=1 SV=1,P,T06,0.548869205,0.695833626,-0.194894944
O43137,Uncharacterized protein YBR085C-A,YBR085C-A,sp|O43137|YB085_YEAST Uncharacterized protein YBR085C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YBR085C-A PE=1 SV=1,P,T16,0.044085872,0.1914045,0.359684958
O43137,Uncharacterized protein YBR085C-A,YBR085C-A,sp|O43137|YB085_YEAST Uncharacterized protein YBR085C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YBR085C-A PE=1 SV=1,P,T30,0.010161456,0.097131565,0.423716755
O60200,Mitochondrial distribution and morphology protein 35,MDM35,sp|O60200|MDM35_YEAST Mitochondrial distribution and morphology protein 35 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MDM35 PE=1 SV=3,C,T00,0.348620101,0.529692775,-0.099141667
O60200,Mitochondrial distribution and morphology protein 35,MDM35,sp|O60200|MDM35_YEAST Mitochondrial distribution and morphology protein 35 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MDM35 PE=1 SV=3,P,T00,0.037358569,0.176217354,-0.173821418
O74700,Mitochondrial import inner membrane translocase subunit TIM9,TIM9,sp|O74700|TIM9_YEAST Mitochondrial import inner membrane translocase subunit TIM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM9 PE=1 SV=1,C,T00,0.809046605,0.883092222,-0.021923333
O74700,Mitochondrial import inner membrane translocase subunit TIM9,TIM9,sp|O74700|TIM9_YEAST Mitochondrial import inner membrane translocase subunit TIM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM9 PE=1 SV=1,C,T06,0.014159302,0.110344183,-0.38375
O74700,Mitochondrial import inner membrane translocase subunit TIM9,TIM9,sp|O74700|TIM9_YEAST Mitochondrial import inner membrane translocase subunit TIM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM9 PE=1 SV=1,C,T16,0.00137077,0.048414239,-0.853355
O74700,Mitochondrial import inner membrane translocase subunit TIM9,TIM9,sp|O74700|TIM9_YEAST Mitochondrial import inner membrane translocase subunit TIM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM9 PE=1 SV=1,C,T30,0.003542178,0.066247509,-0.732053333
