orf,gene,ThisStudy_up,ThisStudy_down,Paulo_q_up,Paulo_log_up
YFL059W,NA,0,0,1,0
YFR013W,NA,0,0,1,0
YFR032C-A,RPL29,0,0,1,0
YGL006W,NA,0,0,1,0
YGL019W,CKB1,0,0,1,0
YGL156W,AMS1,0,0,1,0
YGL184C,NA,0,0,1,0
YGL205W,NA,0,0,1,0
YGL227W,NA,0,0,1,0
YGR040W,NA,0,0,1,0
YGR043C,NA,0,0,1,0
YGR047C,NA,0,0,1,0
YGR084C,NA,0,0,1,0
YGR086C,PIL1,0,0,1,0
YGR088W,NA,0,0,1,0
YGR112W,NA,0,0,1,0
YGR130C,YGR130C,0,0,1,0
YGR196C,NA,0,0,1,0
YGR220C,NA,0,0,1,0
YGR237C,NA,0,0,1,0
YGR248W,NA,0,0,1,0
YGR255C,NA,0,0,1,0
YGR256W,NA,0,0,1,0
YHR005C,NA,0,0,1,0
YHR030C,SLT2,0,0,1,0
YHR072W-A,NOP10,0,0,1,0
YHR073W,NA,0,0,1,0
YHR129C,NA,0,0,1,0
YHR139C,NA,0,0,1,0
YHR195W,NA,0,0,1,0
YIL017C,NA,0,0,1,0
YIL042C,NA,0,0,1,0
YIL055C,NA,0,0,1,0
YIL077C,NA,0,0,1,0
YIL101C,NA,0,0,1,0
YIL105C,NA,0,0,1,0
YIL107C,NA,0,0,1,0
YIL125W,KGD1,0,0,1,0
YIR038C,GTT1,0,0,1,0
YJL045W,NA,0,0,1,0
YJL076W,NET1,0,0,1,0
YJL141C,NA,0,0,1,0
YJR033C,NA,0,0,1,0
YJR074W,NA,0,0,1,0
YJR078W,NA,0,0,1,0
YJR095W,NA,0,0,1,0
YJR096W,NA,0,0,1,0
YJR138W,NA,0,0,1,0
YJR149W,NA,0,0,1,0
YKL017C,NA,0,0,1,0
YKL026C,NA,0,0,1,0
YKL086W,NA,0,0,1,0
YKL093W,NA,0,0,1,0
YKL100C,NA,0,0,1,0
YKL103C,APE1,0,0,1,0
YKL107W,NA,0,0,1,0
YKL129C,NA,0,0,1,0
YKL140W,NA,0,0,1,0
YKL167C,NA,0,0,1,0
YKL168C,NA,0,0,1,0
YKL173W,NA,0,0,1,0
YKL203C,NA,0,0,1,0
YKR046C,NA,0,0,1,0
YKR067W,GPT2,0,0,1,0
YKR076W,NA,0,0,1,0
YKR087C,NA,0,0,1,0
YLL019C,NA,0,0,1,0
YLL023C,NA,0,0,1,0
YLR070C,NA,0,0,1,0
YLR080W,NA,0,0,1,0
YLR121C,NA,0,0,1,0
YLR174W,NA,0,0,1,0
YLR219W,NA,0,0,1,0
YLR295C,NA,0,0,1,0
YLR326W,NA,0,0,1,0
YLR377C,NA,0,0,1,0
YLR409C,NA,0,0,1,0
YLR442C,NA,0,0,1,0
YML016C,NA,0,0,1,0
YML042W,NA,0,0,1,0
YML054C,NA,0,0,1,0
YML100W,TSL1,0,0,1,0
YMR041C,NA,0,0,1,0
YMR056C,AAC1,0,0,1,0
YMR090W,NA,0,0,1,0
YMR096W,NA,0,0,1,0
YMR118C,NA,0,0,1,0
YMR148W,NA,0,0,1,0
YMR169C,NA,0,0,1,0
YMR170C,NA,0,0,1,0
YMR175W,NA,0,0,1,0
YMR209C,NA,0,0,1,0
YMR251W,NA,0,0,1,0
YMR271C,NA,0,0,1,0
YMR293C,NA,0,0,1,0
YMR302C,YME2,0,0,1,0
YMR304W,UBP15,0,0,1,0
YMR313C,NA,0,0,1,0
YMR322C,NA,0,0,1,0
YMR323W,NA,0,0,1,0
YNL005C,NA,0,0,1,0
YNL015W,NA,0,0,1,0
YNL026W,NA,0,0,1,0
YNL106C,NA,0,0,1,0
YNL117W,NA,0,0,1,0
YNL177C,NA,0,0,1,0
YNL185C,NA,0,0,1,0
YNL212W,VID27,0,0,1,0
YNL223W,NA,0,0,1,0
YNL284C,NA,0,0,1,0
YNL333W,NA,0,0,1,0
YNR002C,NA,0,0,1,0
YOL025W,NA,0,0,1,0
YOL055C,NA,0,0,1,0
YOL081W,NA,0,0,1,0
YOL100W,NA,0,0,1,0
YOL126C,NA,0,0,1,0
YOR018W,NA,0,0,1,0
YOR034C,NA,0,0,1,0
YOR035C,NA,0,0,1,0
YOR054C,NA,0,0,1,0
YOR094W,NA,0,0,1,0
YOR100C,NA,0,0,1,0
YOR120W,NA,0,0,1,0
YOR161C,NA,0,0,1,0
YOR180C,NA,0,0,1,0
YOR245C,NA,0,0,1,0
YOR328W,NA,0,0,1,0
YOR371C,NA,0,0,1,0
YOR391C,NA,0,0,1,0
YOR393W,NA,0,0,1,0
YPL036W,NA,0,0,1,0
YPL088W,NA,0,0,1,0
YPL118W,NA,0,0,1,0
YPL134C,NA,0,0,1,0
YPL214C,NA,0,0,1,0
YPL222W,NA,0,0,1,0
YPL223C,NA,0,0,1,0
YPL247C,NA,0,0,1,0
YPL270W,NA,0,0,1,0
YPL271W,NA,0,0,1,0
YPL280W,NA,0,0,1,0
YPL281C,NA,0,0,1,0
YPR006C,NA,0,0,1,0
YPR026W,NA,0,0,1,0
YPR127W,YPR127W,0,0,1,0
YPR155C,NA,0,0,1,0
YAL003W,EFB1,0,0,0,1
YAL059W,NA,0,0,0,1
YBL004W,UTP20,0,0,0,1
YBL023C,MCM2,0,0,0,1
YBL033C,RIB1,0,0,0,1
YBL034C,NA,0,0,0,1
YBL035C,NA,0,0,0,1
YBL054W,NA,0,0,0,1
YBL072C,NA,0,0,0,1
YBL085W,NA,0,0,0,1
YBL087C,NA,0,0,0,1
YBR023C,NA,0,0,0,1
YBR031W,RPL4A,0,0,0,1
YBR073W,NA,0,0,0,1
YBR074W,NA,0,0,0,1
YBR084W,MIS1,0,0,0,1
YBR127C,VMA2,0,0,0,1
YBR172C,NA,0,0,0,1
YBR202W,NA,0,0,0,1
YBR208C,NA,0,0,0,1
YBR265W,NA,0,0,0,1
YBR267W,NA,0,0,0,1
YCL019W,NA,0,0,0,1
YCL054W,NA,0,0,0,1
YCL059C,KRR1,0,0,0,1
YCL064C,NA,0,0,0,1
YCR057C,PWP2,0,0,0,1
YDL031W,NA,0,0,0,1
YDL058W,USO1,0,0,0,1
YDL060W,NA,0,0,0,1
YDL065C,NA,0,0,0,1
YDL074C,BRE1,0,0,0,1
YDL082W,RPL13A,0,0,0,1
YDL095W,PMT1,0,0,0,1
YDL102W,NA,0,0,0,1
YDL130W,NA,0,0,0,1
YDL148C,NA,0,0,0,1
YDL153C,NA,0,0,0,1
YDL167C,NA,0,0,0,1
YDL213C,NOP6,0,0,0,1
YDL225W,SHS1,0,0,0,1
YDL229W,SSB1,0,0,0,1
YDR011W,SNQ2,0,0,0,1
YDR038C,NA,0,0,0,1
YDR039C,NA,0,0,0,1
YDR062W,LCB2,0,0,0,1
YDR089W,NA,0,0,0,1
YDR093W,NA,0,0,0,1
YDR119W,NA,0,0,0,1
YDR120C,TRM1,0,0,0,1
YDR135C,YCF1,0,0,0,1
YDR143C,NA,0,0,0,1
YDR161W,NA,0,0,0,1
YDR170C,SEC7,0,0,0,1
YDR212W,TCP1,0,0,0,1
YDR232W,NA,0,0,0,1
YDR245W,MNN10,0,0,0,1
YDR261W-B,NA,0,0,0,1
YDR264C,AKR1,0,0,0,1
YDR279W,NA,0,0,0,1
YDR292C,NA,0,0,0,1
YDR299W,BFR2,0,0,0,1
YDR312W,NA,0,0,0,1
YDR321W,ASP1,0,0,0,1
YDR345C,HXT3,0,0,0,1
YDR382W,RPP2B,0,0,0,1
YDR406W,NA,0,0,0,1
YDR407C,NA,0,0,0,1
YDR418W,NA,0,0,0,1
YDR422C,NA,0,0,0,1
YDR429C,TIF35,0,0,0,1
YDR457W,NA,0,0,0,1
YDR465C,NA,0,0,0,1
YDR481C,NA,0,0,0,1
YDR502C,SAM2,0,0,0,1
YDR507C,GIN4,0,0,0,1
YEL001C,NA,0,0,0,1
YEL022W,GEA2,0,0,0,1
YEL031W,SPF1,0,0,0,1
YEL042W,GDA1,0,0,0,1
YEL046C,GLY1,0,0,0,1
YEL054C,NA,0,0,0,1
YEL055C,NA,0,0,0,1
YER001W,NA,0,0,0,1
YER006W,NUG1,0,0,0,1
YER070W,RNR1,0,0,0,1
YER088C,NA,0,0,0,1
YER102W,NA,0,0,0,1
YER110C,KAP123,0,0,0,1
YER117W,NA,0,0,0,1
YER126C,NA,0,0,0,1
YER145C,NA,0,0,0,1
YFL002C,NA,0,0,0,1
YFL004W,VTC2,0,0,0,1
YFL008W,NA,0,0,0,1
YFL023W,NA,0,0,0,1
YFL034C-A,NA,0,0,0,1
YFL045C,SEC53,0,0,0,1
YFR030W,MET10,0,0,0,1
YGL008C,PMA1,0,0,0,1
YGL016W,NA,0,0,0,1
YGL030W,RPL30,0,0,0,1
YGL039W,NA,0,0,0,1
YGL055W,OLE1,0,0,0,1
YGL099W,LSG1,0,0,0,1
YGL123W,RPS2,0,0,0,1
YGL135W,NA,0,0,0,1
YGL140C,NA,0,0,0,1
YGL145W,NA,0,0,0,1
YGL147C,RPL9A,0,0,0,1
YGL157W,NA,0,0,0,1
YGL171W,NA,0,0,0,1
YGL195W,GCN1,0,0,0,1
YGL224C,NA,0,0,0,1
YGL241W,NA,0,0,0,1
YGL246C,NA,0,0,0,1
YGR032W,NA,0,0,0,1
YGR038C-B,NA,0,0,0,1
YGR060W,NA,0,0,0,1
YGR085C,NA,0,0,0,1
YGR103W,NOP7,0,0,0,1
YGR118W,NA,0,0,0,1
YGR125W,NA,0,0,0,1
YGR155W,CYS4,0,0,0,1
YGR162W,TIF4631,0,0,0,1
YGR177C,ATF2,0,0,0,1
YGR178C,PBP1,0,0,0,1
YGR184C,NA,0,0,0,1
YGR245C,NA,0,0,0,1
YGR281W,NA,0,0,0,1
YGR285C,ZUO1,0,0,0,1
YHL001W,NA,0,0,0,1
YHL030W,ECM29,0,0,0,1
YHR007C,ERG11,0,0,0,1
YHR023W,NA,0,0,0,1
YHR046C,NA,0,0,0,1
YHR064C,SSZ1,0,0,0,1
YHR085W,NA,0,0,0,1
YHR086W,NA,0,0,0,1
YHR121W,LSM12,0,0,0,1
YHR133C,NA,0,0,0,1
YHR170W,NMD3,0,0,0,1
YHR197W,RIX1,0,0,0,1
YHR214C-B,NA,0,0,0,1
YIL008W,URM1,0,0,0,1
YIL030C,NA,0,0,0,1
YIL047C,NA,0,0,0,1
YIL106W,NA,0,0,0,1
YIL110W,NA,0,0,0,1
YIL129C,NA,0,0,0,1
YIL142W,CCT2,0,0,0,1
YJL008C,CCT8,0,0,0,1
YJL029C,NA,0,0,0,1
YJL034W,KAR2,0,0,0,1
