Protein IDs,comparison,normalized_ratio_mean,normalized_ratio_rep1,normalized_ratio_rep2
sp|Q12414|YP11B_YEAST;sp|Q03612|YE11B_YEAST;sp|P0C2I9|YP12B_YEAST;sp|P0C2I5|YL12B_YEAST;sp|P0C2I3|YD15B_YEAST;sp|Q07793|YD13B_YEAST;sp|Q99337|YN12B_YEAST,ProtoWT_H_vs_AuxoWT_H,3.4392,2.7285,3.4392
sp|Q12447|PAA1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|Q12458|YPR1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|Q12460|NOP56_YEAST,ProtoWT_H_vs_AuxoWT_H,1.2116,NA,NA
sp|Q12464|RUVB2_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|Q12499|NOP58_YEAST,ProtoWT_H_vs_AuxoWT_H,10.507,6.6339,10.507
sp|Q12515|PAR32_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|Q12522|IF6_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|Q12672|RL21B_YEAST,ProtoWT_H_vs_AuxoWT_H,2.1029,NA,NA
sp|Q12680|GLT1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|Q12690|RL13A_YEAST;sp|P40212|RL13B_YEAST,ProtoWT_H_vs_AuxoWT_H,5.8816,NA,4.3967
sp|Q3E747|YL363_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|Q3E754|RS21B_YEAST,ProtoWT_H_vs_AuxoWT_H,10.945,4.5822,13.668
sp|Q3E757|RL11B_YEAST,ProtoWT_H_vs_AuxoWT_H,12.347,12.143,25.892
sp|Q3E764|TMA7_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|Q3E772|YG169_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|Q3E792|RS25A_YEAST,ProtoWT_H_vs_AuxoWT_H,16.406,NA,14.925
sp|Q3E7X9|RS28A_YEAST,ProtoWT_H_vs_AuxoWT_H,94.479,NA,8.0098
sp|Q3E7Y3|RS22B_YEAST;sp|P0C0W1|RS22A_YEAST,ProtoWT_H_vs_AuxoWT_H,8.8518,2.2957,11.902
sp|Q6Q547|NOP10_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|Q99207|NOP14_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|Q99216|PNO1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|Q99297|ODC2_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|Q99383|HRP1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|A5Z2X5|YP010_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|O13563|RPN13_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|O14455|RL36B_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|O14467|MBF1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|O43137|YB085_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|O74700|TIM9_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|O94742|SEM1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00044|CYC1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00128|QCR7_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00330|ADH1_YEAST;sp|P00331|ADH2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00358|G3P2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00359|G3P3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00360|G3P1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00410|COX2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00425|COX5B_YEAST;sp|P00424|COX5A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00427|COX6_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00431|CCPR_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00445|SODC_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00447|SODM_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00498|HIS1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00546|CDK1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00549|KPYK1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00560|PGK_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00635|PPA5_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00724|INV2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00729|CBPY_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00812|ARGI_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00815|HIS2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00817|IPYR_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00830|ATPB_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00890|CISY1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00899|TRPE_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00924|ENO1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00925|ENO2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00927|THDH_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00931|TRP_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00937|TRPG_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00942|TPIS_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00950|PMG1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P00958|SYMC_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P01097|ATIF_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P01119|RAS1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P01120|RAS2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P01123|YPT1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P02294|H2B2_YEAST;sp|P02293|H2B1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P02309|H4_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P02400|RLA4_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P02406|RL28_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P02557|TBB_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P02829|HSP82_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P02992|EFTU_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P02994|EF1A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P03872|REP2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P03962|PYRF_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P03965|CARB_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P04037|COX4_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P04046|PUR1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P04050|RPB1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P04051|RPC1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P04076|ARLY_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P04147|PABP_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P04161|PUR3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P04173|LEU3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P04449|RL24A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P04456|RL25_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P04710|ADT1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P04786|TOP1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P04801|SYTC_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P04802|SYDC_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P04806|HXKA_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P04807|HXKB_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P04840|VDAC1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P04912|H2A2_YEAST;sp|P04911|H2A1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05030|PMA1_YEAST;sp|P19657|PMA2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05150|OTC_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05317|RLA0_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05318|RLA1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05319|RLA2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05373|HEM2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05374|CHO2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05375|PLMT_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05453|ERF3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05626|ATPF_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05694|METE_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05737|RL7A_YEAST;sp|Q12213|RL7B_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05738|RL9A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05739|RL6B_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05740|RL17A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05743|RL26A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05744|RL33A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05745|RL36A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05748|RL15A_YEAST;sp|P54780|RL15B_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05749|RL22A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05750|RS3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05755|RS9B_YEAST;sp|O13516|RS9A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05756|RS13_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P05759|RS31_YEAST;sp|P0CH09|RL40B_YEAST;sp|P0CH08|RL40A_YEAST;sp|P0CG63|UBI4P_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P06101|CDC37_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P06102|NOT3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P06103|EIF3B_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P06105|SC160_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P06106|CYSD_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P06168|ILV5_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P06169|PDC1_YEAST;sp|P16467|PDC5_YEAST;sp|P26263|PDC6_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P06208|LEU1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P06367|RS14A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P06633|HIS7_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P06634|DED1_YEAST;sp|P24784|DBP1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P06704|CDC31_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P06738|PHSG_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P06773|DCTD_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P06780|RHO1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P06781|RHO2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P06782|SNF1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P06785|TYSY_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P06786|TOP2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P06787|CALM_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07143|CY1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07149|FAS1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07170|KAD2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07213|TOM70_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07244|PUR2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07245|C1TC_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07246|ADH3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07248|ADR1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07251|ATPA_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07255|COX9_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07256|QCR1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07257|QCR2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07258|CARA_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07259|PYR1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07260|IF4E_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07262|DHE4_YEAST;sp|P39708|DHE5_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07263|SYH_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07264|LEUC_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07267|CARP_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07273|TFS2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07274|PROF_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07275|PUT2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07277|KIME_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07278|KAPR_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07281|RS19B_YEAST;sp|P07280|RS19A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07283|PMM_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07284|SYSC_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07285|TRPD_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07342|ILVB_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07347|ARD1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07560|SEC4_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07702|LYS2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07703|RPAC1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07806|SYV_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07866|LTE1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P07991|OAT_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P08018|PBS2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P08067|UCRI_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P08417|FUMH_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P08432|DCOR_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P08466|NUC1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P08518|RPB2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P08524|FPPS_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P08539|GPA1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P08566|ARO1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P08679|CISY2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P09032|EI2BG_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P09064|IF2B_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P09232|PRTB_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P09436|SYIC_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P09440|C1TM_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P09457|ATPO_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P09620|KEX1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P09624|DLDH_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P09733|TBA1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P09880|TRNL_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P09938|RIR2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P09950|HEM1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P0C2H7|RL27B_YEAST;sp|P0C2H6|RL27A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P0C2H9|RL31B_YEAST;sp|P0C2H8|RL31A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P0CS90|HSP77_YEAST;sp|P39987|HSP7E_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P0CT04|IPB2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P0CX24|RL20B_YEAST;sp|P0CX23|RL20A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P0CX26|RL43B_YEAST;sp|P0CX25|RL43A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P0CX30|RS23B_YEAST;sp|P0CX29|RS23A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P0CX32|RS24B_YEAST;sp|P0CX31|RS24A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P0CX34|RS30B_YEAST;sp|P0CX33|RS30A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P0CX36|RS4B_YEAST;sp|P0CX35|RS4A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P0CX38|RS6B_YEAST;sp|P0CX37|RS6A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P0CX40|RS8B_YEAST;sp|P0CX39|RS8A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P0CX42|RL23B_YEAST;sp|P0CX41|RL23A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P0CX44|RL1B_YEAST;sp|P0CX43|RL1A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P0CX46|RL2B_YEAST;sp|P0CX45|RL2A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P0CX48|RS11B_YEAST;sp|P0CX47|RS11A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P0CX50|RL18B_YEAST;sp|P0CX49|RL18A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P0CX52|RS16B_YEAST;sp|P0CX51|RS16A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P0CX54|RL12B_YEAST;sp|P0CX53|RL12A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P0CX56|RS18B_YEAST;sp|P0CX55|RS18A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P0CX81|MTCU2_YEAST;sp|P0CX80|MTCU1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P0CX83|RL19B_YEAST;sp|P0CX82|RL19A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P0CX85|RL35B_YEAST;sp|P0CX84|RL35A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P10080|SSBP1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P10081|IF4A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P10356|YEY2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P10507|MPPB_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P10591|HSP71_YEAST;sp|P22202|HSP74_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P10592|HSP72_YEAST;sp|P09435|HSP73_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P10614|CP51_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P10622|RLA3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P10659|METK1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P10662|RT01_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P10664|RL4A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P10869|AK_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P10964|RPA1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P11075|SEC7_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P11076|ARF1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P11154|PYC1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P11353|HEM6_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P11412|G6PD_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P11484|SSB1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P11491|PPB_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P11632|NHP6A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P11745|RNA1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P11938|RAP1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P11972|SST2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P11986|INO1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P12385|ERF1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P12612|TCPA_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P12630|BAR1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P12683|HMDH1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P12684|HMDH2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P12688|YPK1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P12695|ODP2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P12709|G6PI_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P12754|EI2BD_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P12868|PEP5_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P12904|AAKG_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P12945|NAT1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P12962|CAF20_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P13188|SYQ_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P13259|PCY1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P13298|PYRE_YEAST;sp|P30402|PYRX_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P13382|DPOA_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P13517|CAPZB_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P13574|STE12_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P13586|ATC1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P13587|ATN1_YEAST;sp|Q01896|ATN2_YEAST;sp|Q12691|ATN5_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P13663|DHAS_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P14020|DPM1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P14065|GCY1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P14120|RL30_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P14126|RL3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P14127|RS17B_YEAST;sp|P02407|RS17A_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P14540|ALF_YEAST,ProtoWT_H_vs_rim15_M,0.9242,NA,0.9242
sp|P14680|YAK1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P14681|KSS1_YEAST;sp|P16892|FUS3_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P14741|EI2BA_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P14742|GFA1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P14743|NMT_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P14747|PP2B2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P14832|CYPH_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P14843|AROF_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P14904|AMPL_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P14906|SEC63_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P14907|NSP1_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P15019|TAL1_YEAST;sp|P53228|TAL2_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P15108|HSC82_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P15180|SYKC_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
sp|P15274|AMPD_YEAST,ProtoWT_H_vs_rim15_M,NA,NA,NA
