Protein IDs,comparison,normalized_ratio_mean,normalized_ratio_rep1,normalized_ratio_rep2
sp|P05738|RL9A_YEAST,ProtoWT_H_vs_AuxoWT_H,6.7076,10.03,5.4509
sp|P05739|RL6B_YEAST,ProtoWT_H_vs_AuxoWT_H,3.049,NA,30.105
sp|P05740|RL17A_YEAST,ProtoWT_H_vs_AuxoWT_H,15.433,NA,15.433
sp|P05743|RL26A_YEAST,ProtoWT_H_vs_AuxoWT_H,57.309,NA,57.309
sp|P05745|RL36A_YEAST,ProtoWT_H_vs_AuxoWT_H,74.776,NA,NA
sp|P05748|RL15A_YEAST;sp|P54780|RL15B_YEAST,ProtoWT_H_vs_AuxoWT_H,28.334,7.5893,240.51
sp|P05749|RL22A_YEAST;sp|P56628|RL22B_YEAST,ProtoWT_H_vs_AuxoWT_H,22.728,NA,21.032
sp|P05750|RS3_YEAST,ProtoWT_H_vs_AuxoWT_H,13.494,NA,13.494
sp|P05755|RS9B_YEAST;sp|O13516|RS9A_YEAST,ProtoWT_H_vs_AuxoWT_H,9.1183,9.4773,9.1183
sp|P05756|RS13_YEAST,ProtoWT_H_vs_AuxoWT_H,1.3897,0.36679,1.3897
sp|P05759|RS31_YEAST,ProtoWT_H_vs_AuxoWT_H,4.6117,4.3306,4.6117
sp|P06103|EIF3B_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P06105|SC160_YEAST,ProtoWT_H_vs_AuxoWT_H,13.453,NA,13.453
sp|P06106|CYSD_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P06168|ILV5_YEAST,ProtoWT_H_vs_AuxoWT_H,2.7308,17.995,2.3637
sp|P06169|PDC1_YEAST;sp|P26263|PDC6_YEAST;sp|P16467|PDC5_YEAST,ProtoWT_H_vs_AuxoWT_H,22.321,22.158,26.24
sp|P06208|LEU1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P06367|RS14A_YEAST,ProtoWT_H_vs_AuxoWT_H,9.7879,NA,59.825
sp|P06634|DED1_YEAST,ProtoWT_H_vs_AuxoWT_H,14.847,14.847,NA
sp|P06780|RHO1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P06786|TOP2_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P07149|FAS1_YEAST,ProtoWT_H_vs_AuxoWT_H,4.0691,0.046011,4.2913
sp|P07170|KAD2_YEAST,ProtoWT_H_vs_AuxoWT_H,12.2,13.418,90.036
sp|P07213|TOM70_YEAST,ProtoWT_H_vs_AuxoWT_H,12.823,12.541,NA
sp|P07244|PUR2_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P07245|C1TC_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P07246|ADH3_YEAST,ProtoWT_H_vs_AuxoWT_H,4.3116,NA,4.3116
sp|P07251|ATPA_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P07253|CBP6_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P07256|QCR1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P07257|QCR2_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P07258|CARA_YEAST,ProtoWT_H_vs_AuxoWT_H,0.24653,NA,NA
sp|P07259|PYR1_YEAST,ProtoWT_H_vs_AuxoWT_H,1.3993,0.34348,1.3993
sp|P07260|IF4E_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P07262|DHE4_YEAST;sp|P39708|DHE5_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P07263|SYH_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P07267|CARP_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P07274|PROF_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P07278|KAPR_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P07280|RS19A_YEAST,ProtoWT_H_vs_AuxoWT_H,2.0033,2.0172,9.5065
sp|P07281|RS19B_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P07283|PMM_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P07284|SYSC_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P07342|ILVB_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P07347|ARD1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P07560|SEC4_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P07703|RPAC1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P07806|SYV_YEAST,ProtoWT_H_vs_AuxoWT_H,0.51994,0.094528,4.0321
sp|P08417|FUMH_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P08518|RPB2_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P08524|FPPS_YEAST,ProtoWT_H_vs_AuxoWT_H,0.15175,0.14946,NA
sp|P08566|ARO1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P09064|IF2B_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P09232|PRTB_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P09436|SYIC_YEAST,ProtoWT_H_vs_AuxoWT_H,13.788,NA,3.5409
sp|P09440|C1TM_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P09457|ATPO_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P09624|DLDH_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P09938|RIR2_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P0C0T4|RS25B_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P0C0V8|RS21A_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P0C0W9|RL11A_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P0C0X0|RS28B_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P0C2H6|RL27A_YEAST;sp|P0C2H7|RL27B_YEAST,ProtoWT_H_vs_AuxoWT_H,30.711,30.249,NA
sp|P0C2H8|RL31A_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P0C2H9|RL31B_YEAST,ProtoWT_H_vs_AuxoWT_H,6.5971,NA,4.0659
sp|P0CH09|RL40B_YEAST;sp|P0CH08|RL40A_YEAST;sp|P0CG63|UBI4P_YEAST,ProtoWT_H_vs_AuxoWT_H,3.9744,NA,3.9744
sp|P0CS90|HSP77_YEAST;sp|P39987|HSP7E_YEAST,ProtoWT_H_vs_AuxoWT_H,5.1385,3.8116,6.5237
sp|P0CX24|RL20B_YEAST;sp|P0CX23|RL20A_YEAST,ProtoWT_H_vs_AuxoWT_H,259.98,27.416,14.933
sp|P0CX26|RL43B_YEAST;sp|P0CX25|RL43A_YEAST,ProtoWT_H_vs_AuxoWT_H,4.5892,NA,8.7121
sp|P0CX28|RL44B_YEAST;sp|P0CX27|RL44A_YEAST,ProtoWT_H_vs_AuxoWT_H,15.421,NA,35.247
sp|P0CX30|RS23B_YEAST;sp|P0CX29|RS23A_YEAST,ProtoWT_H_vs_AuxoWT_H,4.6621,NA,3.2561
sp|P0CX32|RS24B_YEAST;sp|P0CX31|RS24A_YEAST,ProtoWT_H_vs_AuxoWT_H,13.98,NA,13.98
sp|P0CX34|RS30B_YEAST;sp|P0CX33|RS30A_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P0CX36|RS4B_YEAST;sp|P0CX35|RS4A_YEAST,ProtoWT_H_vs_AuxoWT_H,3.5655,NA,6.1969
sp|P0CX38|RS6B_YEAST;sp|P0CX37|RS6A_YEAST,ProtoWT_H_vs_AuxoWT_H,4.9148,1.1575,7.4215
sp|P0CX40|RS8B_YEAST;sp|P0CX39|RS8A_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P0CX42|RL23B_YEAST;sp|P0CX41|RL23A_YEAST,ProtoWT_H_vs_AuxoWT_H,6.8052,NA,6.8052
sp|P0CX44|RL1B_YEAST;sp|P0CX43|RL1A_YEAST,ProtoWT_H_vs_AuxoWT_H,5.1582,2.0499,14.949
sp|P0CX46|RL2B_YEAST;sp|P0CX45|RL2A_YEAST,ProtoWT_H_vs_AuxoWT_H,10.02,NA,10.02
sp|P0CX48|RS11B_YEAST;sp|P0CX47|RS11A_YEAST,ProtoWT_H_vs_AuxoWT_H,1.5676,0.59621,39.82
sp|P0CX50|RL18B_YEAST;sp|P0CX49|RL18A_YEAST,ProtoWT_H_vs_AuxoWT_H,1.4065,NA,0.58575
sp|P0CX52|RS16B_YEAST;sp|P0CX51|RS16A_YEAST,ProtoWT_H_vs_AuxoWT_H,22.554,NA,22.554
sp|P0CX54|RL12B_YEAST;sp|P0CX53|RL12A_YEAST,ProtoWT_H_vs_AuxoWT_H,21.722,NA,21.722
sp|P0CX56|RS18B_YEAST;sp|P0CX55|RS18A_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P0CX58|YP12A_YEAST;sp|P0CX57|YA11A_YEAST;sp|O74302|YD13A_YEAST;sp|Q12470|YN12A_YEAST;sp|Q04706|YM11A_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P0CX73|YP11A_YEAST;sp|P0CX72|YL12A_YEAST;sp|P0CX71|YE11A_YEAST;sp|P0CX70|YD15A_YEAST;sp|Q6Q5H1|YP14A_YEAST;sp|P0C2I8|YL14A_YEAST;sp|Q92392|YO11A_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P0CX83|RL19B_YEAST;sp|P0CX82|RL19A_YEAST,ProtoWT_H_vs_AuxoWT_H,61.212,NA,61.212
sp|P0CX85|RL35B_YEAST;sp|P0CX84|RL35A_YEAST,ProtoWT_H_vs_AuxoWT_H,7.9797,4.3919,8.4142
sp|P10080|SSBP1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P10081|IF4A_YEAST,ProtoWT_H_vs_AuxoWT_H,8.163,NA,7.2901
sp|P10363|PRI1_YEAST,ProtoWT_H_vs_AuxoWT_H,6.5292,NA,NA
sp|P10591|HSP71_YEAST;sp|P22202|HSP74_YEAST;sp|P09435|HSP73_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P10592|HSP72_YEAST,ProtoWT_H_vs_AuxoWT_H,18.181,18.769,15.199
sp|P10614|CP51_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P10622|RLA3_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P10659|METK1_YEAST,ProtoWT_H_vs_AuxoWT_H,2.2211,0.82094,5.2948
sp|P10664|RL4A_YEAST,ProtoWT_H_vs_AuxoWT_H,293.42,5.0206,45.68
sp|P10964|RPA1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P11154|PYC1_YEAST;sp|P32327|PYC2_YEAST,ProtoWT_H_vs_AuxoWT_H,6.5981,NA,2.3123
sp|P11412|G6PD_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P11632|NHP6A_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P11633|NHP6B_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P11745|RNA1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P12385|ERF1_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P12612|TCPA_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P12683|HMDH1_YEAST;sp|P12684|HMDH2_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P12695|ODP2_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
sp|P12709|G6PI_YEAST,ProtoWT_H_vs_AuxoWT_H,8.7577,0.59034,9.9185
sp|P12754|EI2BD_YEAST,ProtoWT_H_vs_AuxoWT_H,NA,NA,NA
