Protein IDs,Gene names,comparison,condition,term,estimate,std.error,statistic,p.value,qvalue,df
P32454,APE2,genotype (per nutrient),C,samplingTime:genotypeWT,-0.00719697530143637,0.00829114078493399,-0.8680319739008824,0.3956733682358032,0.47877142758244007,NA
P32454,APE2,genotype (per nutrient),P,samplingTime:genotypeWT,0.00468402020966006,0.0073911489203776,0.6337337077252078,0.5334359805384743,0.5668334441880333,NA
P37302,APE3,genotype (per nutrient),C,genotypeWT,0.0476112117001273,0.12373194391730744,0.3847932085504681,0.7044519912906315,0.634091383715617,NA
P37302,APE3,genotype (per nutrient),P,genotypeWT,0.2429816132692596,0.13779044454170675,1.7634141037676476,0.09310351618463202,0.15898458359079637,NA
P37302,APE3,genotype (per nutrient),C,samplingTime,0.01271091039902112,0.0050682579022465,2.50794467136075,0.02087619103948926,0.04442154487619503,NA
P37302,APE3,genotype (per nutrient),P,samplingTime,-2.3705770667411323e-4,0.00564411652555373,-0.04200085267567288,0.9669145008644824,0.6748659112874248,NA
P37302,APE3,genotype (per nutrient),C,samplingTime:genotypeWT,-7.487470824462417e-4,0.00716759906296161,-0.10446274629329837,0.917842639247706,0.6720381885599565,NA
P37302,APE3,genotype (per nutrient),P,samplingTime:genotypeWT,0.00757156475328182,0.00798198613805221,0.9485815462878588,0.3541555949823365,0.4461882481325112,NA
P38821,APE4,genotype (per nutrient),C,genotypeWT,-0.0375122158769105,0.11290529482133849,-0.3322449663345718,0.7431612044957401,0.6433387046856609,NA
P38821,APE4,genotype (per nutrient),P,genotypeWT,0.21008546544595663,0.09442081960998532,2.224990911048387,0.03775188417548814,0.07440015591032444,NA
P38821,APE4,genotype (per nutrient),C,samplingTime,0.00193422577333461,0.00462478107566268,0.4182307749686198,0.6802349322963306,0.6267027480576838,NA
P38821,APE4,genotype (per nutrient),P,samplingTime,0.00283767359277363,0.0038676274693035,0.7336987895798172,0.4716463507010591,0.5309201473495189,NA
P38821,APE4,genotype (per nutrient),C,samplingTime:genotypeWT,0.00909909328758428,0.00654042812020859,1.3912075968650957,0.17944632910885003,0.2706952312949457,NA
P38821,APE4,genotype (per nutrient),P,samplingTime:genotypeWT,0.00158121216484062,0.00546965122129575,0.2890882984794856,0.7754891093275446,0.6501010617719122,NA
P49435,APT1,genotype (per nutrient),C,genotypeWT,-0.02201685023033938,0.11853905849019652,-0.1857349848291585,0.8545233944784657,0.6650886234149981,NA
P49435,APT1,genotype (per nutrient),P,genotypeWT,-0.02289872324244237,0.1433668563745697,-0.1597211783915779,0.874702768736271,0.668508342584946,NA
P49435,APT1,genotype (per nutrient),C,samplingTime,-0.01030415911974611,0.00485554902717213,-2.1221408870723013,0.04650708590787964,0.0889786790439806,NA
P49435,APT1,genotype (per nutrient),P,samplingTime,-0.03014947440908313,0.0058725352543258,-5.133979295718067,5.055074036178871e-5,1.850222079176728e-4,NA
P49435,APT1,genotype (per nutrient),C,samplingTime:genotypeWT,0.0084387661028716,0.00686678328699431,1.2289256483242497,0.23336371616339055,0.33110378733679713,NA
P49435,APT1,genotype (per nutrient),P,samplingTime:genotypeWT,0.00818753097631428,0.00830501900218169,0.9858533706140168,0.3359823365884683,0.4310171364053278,NA
P38115,ARA1,genotype (per nutrient),C,genotypeWT,0.13212003609458986,0.14958241531477248,0.8832591439078196,0.3875902970621793,0.47280217238627525,NA
P38115,ARA1,genotype (per nutrient),P,genotypeWT,0.2017671497128475,0.08920609053942094,2.2618091264035933,0.03500330067671591,0.06970580174611465,NA
P38115,ARA1,genotype (per nutrient),C,samplingTime,0.03073327387134547,0.00612713446870989,5.015929392164388,6.62599767251853e-5,2.3853072087778656e-4,NA
P38115,ARA1,genotype (per nutrient),P,samplingTime,-0.00413121513582624,0.00365402384373026,-1.1305933711721037,0.27160266793132737,0.37066820814522006,NA
P38115,ARA1,genotype (per nutrient),C,samplingTime:genotypeWT,-0.02110035564208966,0.00866507666413319,-2.435103168726601,0.02437441564044003,0.05090799750598414,NA
P38115,ARA1,genotype (per nutrient),P,samplingTime:genotypeWT,0.00442340161263293,0.005167570077038,0.8559925742058591,0.4021413259727651,0.48320895831608374,NA
P40024,ARB1,genotype (per nutrient),C,genotypeWT,-0.01878672671563209,0.0413716562607516,-0.4540965582142926,0.6546487980168211,0.6180163806022323,NA
