Protein IDs,Gene names,C_WT_module,C_WT_module_description,C_rim15_module,C_rim15_module_description,P_WT_module,P_WT_module_description,P_rim15_module,P_rim15_module_description
P16649,TUP1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P36421,TYS1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P22515,UBA1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P38820,UBA4,unassigned,No coherent co-expression pattern,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P21734,UBC1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P50101,UBP15,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,blue,Upregulated during phosphorus starvation (sustained)
Q01477,UBP3,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P43593,UBP6,turquoise,Upregulated during carbon starvation,NA,NA,brown,Transiently upregulated early in phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P17649,UGA1,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P32861,UGP1,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P07259,URA2,NA,NA,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P03962,URA3,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,NA,NA
P13298,URA5,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P15700,URA6,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P28274,URA7,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P53254,UTP22,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38882,UTP9,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P39968,VAC8,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA,NA,NA
P07806,VAS1,NA,NA,unassigned,No coherent co-expression pattern,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q06685,VIP1,NA,NA,turquoise,Upregulated during carbon starvation,brown,Transiently upregulated early in phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P17255,VMA1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,NA,NA
P48836,VMA10,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,NA,NA
P41807,VMA13,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation
P16140,VMA2,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P22203,VMA4,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P31412,VMA5,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P32366,VMA6,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,NA,NA
P39111,VMA7,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32610,VMA8,turquoise,Upregulated during carbon starvation,unassigned,No coherent co-expression pattern,NA,NA,brown,Transiently upregulated early in phosphorus starvation
P32563,VPH1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P21576,VPS1,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q07878,VPS13,NA,NA,unassigned,No coherent co-expression pattern,NA,NA,NA,NA
P36017,VPS21,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P38759,VPS29,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P43585,VTC2,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q02725,VTC3,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P47075,VTC4,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q12109,WRS1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q12363,WTM1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P22147,XRN1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P46683,YAR1,NA,NA,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation
O43137,YBR085C-A,NA,NA,NA,NA,unassigned,No coherent co-expression pattern,brown,Transiently upregulated early in phosphorus starvation
P32386,YBT1,blue,Downregulated during carbon starvation,NA,NA,NA,NA,unassigned,No coherent co-expression pattern
P23292,YCK2,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,unassigned,No coherent co-expression pattern
P25349,YCP4,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P25491,YDJ1,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q07505,YDL086W,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P16521,YEF3,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P40093,YER156C,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q07451,YET3,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P43590,YFR006W,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),turquoise,Downregulated during phosphorus starvation
P53155,YGL082W,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,blue,Upregulated during phosphorus starvation (sustained)
P38616,YGP1,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation
P53235,YGR054W,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P53278,YGR130C,NA,NA,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P39676,YHB1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P38765,YHI9,NA,NA,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P38708,YHR020W,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P53633,YIP3,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P52553,YKE2,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q86ZR7,YKL033W-A,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P36114,YKR018C,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,brown,Transiently upregulated early in phosphorus starvation
P36015,YKT6,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P32843,YME2,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P19955,YMR31,NA,NA,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
P36010,YNK1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q3E841,YNR034W-A,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),NA,NA
P12688,YPK1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q08971,YPL225W,NA,NA,turquoise,Upregulated during carbon starvation,NA,NA,turquoise,Downregulated during phosphorus starvation
Q08977,YPL260W,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,blue,Upregulated during phosphorus starvation (sustained)
Q12458,YPR1,turquoise,Upregulated during carbon starvation,NA,NA,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q06523,YPR148C,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P01123,YPT1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P38555,YPT31,blue,Downregulated during carbon starvation,turquoise,Upregulated during carbon starvation,NA,NA,NA,NA
P36018,YPT52,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P32939,YPT7,unassigned,No coherent co-expression pattern,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
Q12159,YRA1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,brown,Transiently upregulated early in phosphorus starvation
P41920,YRB1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
Q08245,ZEO1,NA,NA,turquoise,Upregulated during carbon starvation,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P53303,ZPR1,NA,NA,brown,Downregulated during carbon starvation (secondary cluster),turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P32527,ZUO1,NA,NA,NA,NA,turquoise,Downregulated during phosphorus starvation,turquoise,Downregulated during phosphorus starvation
P11412,ZWF1,turquoise,Upregulated during carbon starvation,turquoise,Upregulated during carbon starvation,blue,Upregulated during phosphorus starvation (sustained),blue,Upregulated during phosphorus starvation (sustained)
