orf,gene,log2FC_thisStudy,paulo_pvalue,log2FC_Paulo,paulo_category
YNL104C,LEU4,0.6446769210878479,NA,NA,detected_only
YPL154C,PEP4,0.6426101000183148,NA,NA,detected_only
YLR304C,ACO1,0.6396253136261838,NA,NA,detected_only
YOR074C,CDC21,-0.6355916650817528,NA,NA,detected_only
YOR128C,ADE2,0.6309564743679933,NA,NA,detected_only
YNR067C,DSE4,-0.6187428703373167,NA,NA,detected_only
YAL060W,BDH1,0.611918746311368,NA,NA,detected_only
YFR053C,HXK1,0.6108861266321288,NA,NA,detected_only
YMR241W,YHM2,0.607525997113744,NA,NA,detected_only
YLL001W,DNM1,0.6071969930319785,NA,NA,detected_only
YIL118W,RHO3,0.6056843513802472,NA,NA,detected_only
YJR121W,ATP2,0.6027156873667833,NA,NA,detected_only
YPR133C,SPN1,-0.5969224606893175,NA,NA,detected_only
YKL142W,MRP8,0.5945039921935805,NA,NA,detected_only
YOR095C,RKI1,0.5899947308366044,NA,NA,detected_only
YAL042W,ERV46,-0.589761993321332,NA,NA,detected_only
YPL240C,HSP82,0.5884743900321749,NA,NA,detected_only
YDR033W,MRH1,-0.5868206189528291,NA,NA,detected_only
YDR513W,GRX2,0.5856163498639038,NA,NA,detected_only
YFL028C,CAF16,0.5784047423783111,NA,NA,detected_only
YMR307W,GAS1,-0.5780433455808673,NA,NA,detected_only
YGL082W,YGL082W,0.5774626302961818,NA,NA,detected_only
YNL157W,IGO1,-0.5762497502793494,NA,NA,detected_only
YDR044W,HEM13,-0.5755432420058648,NA,NA,detected_only
YNL045W,LAP2,0.5714099377776742,NA,NA,detected_only
YIL124W,AYR1,0.5611794353521689,NA,NA,detected_only
YDR432W,NPL3,-0.560263167145144,NA,NA,detected_only
YLR206W,ENT2,0.5559224300212091,NA,NA,detected_only
YJL026W,RNR2,0.5551353077684767,NA,NA,detected_only
YPL260W,YPL260W,0.5517444588733091,NA,NA,detected_only
YBR053C,NA,0.5465798188067794,NA,NA,detected_only
YNL069C,RPL16B,-0.5411932532839921,NA,NA,detected_only
YGR186W,TFG1,-0.5388717768165953,NA,NA,detected_only
YOR317W,FAA1,0.5292013846659227,NA,NA,detected_only
YNL219C,ALG9,-0.5288325042127451,NA,NA,detected_only
YOR089C,VPS21,-0.5260072814812693,NA,NA,detected_only
YEL037C,RAD23,-0.5204133786590617,NA,NA,detected_only
YBR026C,ETR1,0.5167928527840503,NA,NA,detected_only
YNL220W,ADE12,0.5165493007846615,NA,NA,detected_only
YDR035W,ARO3,0.5157679967535852,NA,NA,detected_only
YMR203W,TOM40,0.5136497372425955,NA,NA,detected_only
